ID,Name,Type,Risk,Popularity,AREA,PERIMET,xcoord,ycoord
"853",Anglesea 29,Residential,"4","2",34380.828125,1819.6181,778017.423577595,5743450.26291162
"854",Anglesea 30,Residential,"3","3",84864.760254,1613.4972,777798.331608653,5743504.58438614
"855",Anglesea 32,Residential,"3","3",70280.733887,2183.7280,777572.630664953,5743935.00193644
"856",Anglesea 33,Residential,"3","3",108959.027832,1669.5792,778109.830611804,5743682.63376178
"857",Anglesea 34,Residential,"3","3",27362.165527,822.3778,777643.661252271,5743958.16690318
"858",Anglesea 35,Residential,"3","3",106315.702148,1560.1360,777981.119979639,5743967.37767227
"859",Anglesea 36,Residential,"5","1",32525.239258,822.1205,777183.2489159,5744650.57280355
"860",Anglesea 38,Residential,"4","2",102937.068848,1390.3506,777759.87624535,5744234.2597468
"861",Anglesea 39,Residential,"4","2",43186.967285,1018.6357,778034.829654919,5744240.89429176
"862",Anglesea 40,Residential,"5","1",52079.036133,1062.8670,777664.190155953,5744528.00617706
"863",Anglesea 41,Residential,"5","1",53250.750000,1191.1296,777708.137443114,5744721.80610368
"864",Anglesea 42,Residential,"5","1",73221.331055,1284.3236,777937.96068881,5744539.96315965
"865",Anglesea 43,Residential,"4","2",34259.474609,953.7361,778299.283387897,5744588.34356473
"866",Anglesea 50,Residential,"5","1",80242.478516,1463.5576,778580.179079645,5745163.26903876
"867",Anglesea 51,Residential,"5","1",159281.285645,2865.3163,776381.319933415,5743510.7915064
"868",Anglesea 53,Residential,"4","2",51334.351562,1143.7126,777033.192920102,5743515.01803046
"869",Anglesea 18,Residential,"4","2",47257.718262,922.9870,777279.302558948,5742853.74076468
"870",Anglesea 26,Residential,"4","2",89380.935059,1481.4890,777022.127194151,5742702.49967958
"871",Anglesea 25,Residential,"4","2",52183.976562,1085.6167,777196.702666702,5743008.7449031
"872",Anglesea 24,Residential,"4","2",56578.859863,1588.4498,777417.880753338,5742988.2681099
"873",Anglesea 28,Residential,"3","3",85933.832520,1719.9862,777707.772539894,5743705.34994522
"874",Anglesea 37,Residential,"5","1",50302.434570,1065.0664,777404.516168798,5744686.19426014
"875",Anglesea 48,Residential,"5","1",41428.332520,1041.9099,778716.721084499,5744971.28945333
"876",Anglesea 46,Residential,"4","2",46679.376465,1107.8513,778601.414982888,5744862.52348255
"877",Anglesea 47,Residential,"5","1",55106.804688,1175.9419,778407.272029242,5744904.20246677
"878",Anglesea 45,Residential,"4","2",47455.590820,1322.5078,778589.114490811,5744706.69288906
"126300",Lorne 1,Residential,"5","1",101594.494629,1968.9515,760523.058547209,5732440.04674782
"126301",Lorne 2,Residential,"5","1",41383.480713,819.2903,760336.554718387,5732089.03286514
"126302",Lorne 3,Residential,"5","1",58193.336426,1212.3423,760191.005485551,5731840.56391771
"126303",Lorne 4,Residential,"5","1",40973.252686,1068.3893,759926.718259375,5731653.81954707
"126304",Lorne 5,Residential,"5","1",51612.166260,954.4956,759901.696013882,5731437.15773697
"126305",Lorne 6,Residential,"5","1",19920.062988,653.0341,759751.221015927,5731565.61730552
"126306",Lorne 7,Residential,"4","2",20271.278076,604.0577,759803.874970449,5731201.51796681
"126307",Lorne 8,Residential,"5","1",31447.983398,929.9910,759677.944319661,5731236.37296036
"126308",Lorne 9,Residential,"4","2",17181.544189,586.2284,759679.109533734,5731023.56530971
"126309",Lorne 10,Residential,"5","1",41521.670898,894.3616,759380.518319403,5731303.59740134
"126310",Lorne 11,Residential,"5","1",24625.477539,773.6697,759440.508475015,5731199.58893566
"126311",Lorne 12,Residential,"4","2",28129.416260,704.5390,759469.401355739,5731080.63197747
"126312",Lorne 13,Residential,"4","2",18508.888184,571.5084,759493.512733993,5730922.63649396
"126313",Lorne 14,Residential,"5","1",14515.589600,637.7479,759253.1526794,5731132.02044698
"126314",Lorne 15,Residential,"5","1",19521.385498,584.4504,759155.666765909,5731030.50268298
"126315",Lorne 16,Residential,"5","1",20196.566895,651.4458,759259.179242815,5730935.27230871
"126316",Lorne 17,Residential,"4","2",32782.465332,884.5951,759361.195225502,5730841.03370648
"126317",Lorne 18,Residential,"5","1",29037.262939,882.2728,759137.446373412,5730817.66174124
"126318",Lorne 19,Residential,"3","2",26843.527832,887.0970,759267.160670797,5730635.95953665
"126319",Lorne 20,Residential,"5","1",21872.330322,786.4195,759080.72531335,5730642.41504823
"126320",Lorne 21,Residential,"2","4",66995.740723,1594.3780,759384.918109419,5730417.76020269
"126321",Lorne 22,Residential,"3","2",31788.942871,720.8081,759211.521863511,5730287.58866361
"126322",Lorne 23,Residential,"5","1",20995.876221,801.5681,759052.266460344,5730385.81850987
"126323",Lorne 24,Residential,"5","1",11159.889160,579.0642,759020.962970586,5730595.84307367
"126324",Lorne 25,Residential,"5","1",17344.958496,699.3696,758964.076708369,5730398.03847417
"126325",Lorne 26,Residential,"5","1",29496.301025,787.9574,758866.519056659,5730418.87329219
"126326",Lorne 27,Residential,"5","1",39154.540771,885.6610,758723.838173148,5730425.45198764
"126327",Lorne 28,Residential,"5","1",19578.493652,654.8612,758864.349839913,5730635.88347655
"126328",Lorne 29,Residential,"5","1",85341.095459,1184.6135,758770.65214726,5730843.83185164
"126329",Lorne 31,Residential,"5","1",24893.301270,695.2733,758866.949659629,5730025.93338207
"126330",Lorne 32,Residential,"5","1",49453.881836,985.6455,758769.662198062,5729795.88152983
"126331",Lorne 33,Residential,"3","2",21436.021240,669.4903,759076.621855207,5729894.2886787
"126332",Lorne 34,Residential,"2","4",16413.402344,585.8831,759271.09371883,5729851.2967029
"126333",Lorne 35,Residential,"3","2",24036.121582,628.3479,759130.671109786,5729767.13707423
"126334",Lorne 36,Residential,"5","1",42260.271729,834.0480,758984.50843874,5729689.29220781
"126335",Lorne 37,Residential,"5","1",102536.275879,1725.3744,759110.082306195,5729283.75865336
"126336",Lorne 38,Residential,"5","1",31942.548340,824.8158,759154.087702312,5729443.61657651
"126337",Lorne 39,Residential,"5","1",23606.423340,676.4608,759378.814275961,5729255.47423541
"126338",Lorne 40,Residential,"5","1",28914.771240,799.5267,759239.248570964,5729530.75373514
"126339",Lorne 41,Residential,"5","1",26019.396484,698.3541,759457.297564861,5729345.84287972
"126340",Lorne 42,Residential,"5","1",45209.578369,851.7195,759604.757018532,5729145.75774504
"126341",Lorne 43,Residential,"3","2",27417.824219,718.0723,759383.047473417,5729651.57902676
"126342",Lorne 44,Residential,"3","2",24121.589844,672.5818,759620.892287393,5729538.82733785
"126343",Lorne 45,Residential,"3","2",28332.173096,1224.2167,759487.257548987,5729466.81698342
"126344",Lorne 46,Residential,"3","2",46189.791016,857.6924,759763.528926096,5729334.67245757
"126345",Lorne 47,Residential,"5","1",57555.895752,995.6752,759947.70243798,5729166.48451614
"126346",Lorne 48,Residential,"5","1",43504.123779,913.8479,760013.529768832,5728849.47142606
"126347",Lorne 49,Residential,"5","1",20257.327637,594.6526,760120.382837041,5729102.82309573
"126348",Lorne 50,Residential,"2","3",39316.643799,965.1964,759204.058562978,5730097.65598972
"126349",Moggs Creek 1,Residential,"5","1",103372.901855,1784.2532,767117.436616738,5737857.31181404
"126350",Moggs Creek 2,Residential,"5","1",149408.142090,2190.8402,767580.689673683,5738101.55166219
"126351",Aireys Inlet 1,Residential,"3","2",133094.391113,1957.7750,770717.487271477,5737870.61025887
"126352",Aireys Inlet 2,Residential,"3","2",36007.058105,770.8444,770694.740070608,5738222.92377414
"126353",Aireys Inlet 3,Residential,"3","2",42845.021973,912.8327,770898.423520674,5738072.75182237
"126356",Aireys Inlet 15,Residential,"5","1",873447.781738,5146.0400,771150.758191068,5740419.07335048
"126357",Aireys Inlet 8,Residential,"3","2",54225.435059,984.7873,771050.847963539,5738285.67619508
"126358",Aireys Inlet 9,Residential,"3","2",80157.465332,1234.9979,771198.523101997,5738591.72262072
"126359",Aireys Inlet 10,Residential,"3","3",127346.786133,1673.3342,771611.742108175,5738811.21403828
"126360",Aireys Inlet 11,Residential,"3","3",83532.382812,1484.0590,771386.085567773,5738944.43179618
"126361",Aireys Inlet 12,Residential,"4","2",157856.382812,1729.5392,771699.381654435,5739165.59987805
"126362",Moggs Creek 3,Residential,"5","1",38676.776855,931.9503,767364.209325801,5738567.33268961
"126363",Aireys Inlet 13,Residential,"4","2",103672.225098,1365.2319,771847.149495835,5739442.64938814
"126364",Aireys Inlet 14,Residential,"5","1",283024.411133,2609.8993,772141.580109912,5739976.79947481
"126365",Fairhaven 1,Residential,"4","2",218326.359375,2848.1575,768350.431493444,5738107.52198552
"126366",Fairhaven 5,Residential,"3","3",258565.564941,2510.7534,768720.568888819,5737914.97357107
"126367",Fairhaven 6,Residential,"3","3",127066.230469,1605.5703,769356.347044576,5737885.13465306
"126368",Fairhaven 2,Residential,"4","2",132909.903320,1985.4088,769193.175455242,5738198.04129434
"126369",Fairhaven 4,Residential,"4","2",86339.966797,1330.5313,769953.138376041,5738308.04447297
"126370",Lorne 30,Residential,"5","1",45098.117432,1674.9797,758783.204945714,5730096.01981458
"126371",Big Hill 1,Residential,"5","1",404163.746582,5526.1236,763450.076940714,5735571.44005708
"126372",Eastern View 1,Residential,"5","1",101317.535400,3718.2315,765781.316039295,5737523.86284553
"126373",Fairhaven 3,Residential,"4","2",99863.118164,1577.9396,769632.031771744,5738126.20831395
"126374",Aireys Inlet 6,Residential,"3","3",127671.241211,1841.5342,770833.045990398,5738788.90914912
"126375",Aireys Inlet 7,Residential,"3","3",55213.293457,1292.2556,771007.050893354,5738882.05444265
"126376",Aireys Inlet 16,Residential,"5","1",667554.631348,4304.6473,770899.96975986,5739484.40945055
"126386",,Residential,"3","3",170001.637695,1780.8128,792255.620479104,5754391.30007341
"126387",,Residential,"3","3",1023228.476562,4252.2218,787477.907567736,5749712.42887246
"126388",,Residential,"3","3",201883.314453,1886.8073,788231.827686886,5750808.0608502
"126389",,Residential,"3","3",289270.302734,2365.3516,789027.924050622,5751720.28015128
"126390",Torquay,Town,"1","1",998087.192871,4690.2621,789314.879220832,5750953.84480268
"126391",,Residential,"3","3",245611.495117,2730.4015,788354.609838778,5750260.80490651
"126392",,Residential,"3","3",240177.453613,2564.7447,788594.725322324,5751058.74232864
"126393",,Residential,"3","3",360244.972656,2693.2888,788123.187221687,5751267.90249182
"126394",,Residential,"2","4",462068.105957,3465.5049,790611.39832572,5753345.98713549
"126395",,Residential,"2","4",344440.379395,2705.6501,790375.415976107,5752132.444752
"126396",,Residential,"2","4",380444.271973,2684.1366,790420.895905102,5752508.39440602
"126397",,Residential,"2","4",451070.609863,3266.5501,790592.002499604,5752928.59055962
"126398",,Residential,"3","3",575310.580078,3442.8321,791402.487756118,5754360.795977
"126399",,Residential,"3","3",1440824.392578,5582.9406,793039.244589974,5754344.1667993
"126400",,Residential,"2","4",208785.701660,2460.5544,790515.310544487,5753801.66301497
"126401",,Residential,"2","4",179229.635254,1983.7470,790894.719887596,5753891.31030722
"126402",,Residential,"2","4",155005.856934,2136.9526,791118.102569293,5753461.09876635
"126403",,Residential,"2","4",267593.984375,2623.3850,791477.824726652,5753417.74149688
"126404",,Residential,"2","4",200490.651367,2091.1651,791629.529052785,5753789.46360585
"126405",,Residential,"2","4",143153.447266,1688.4651,791277.478874657,5753976.97934263
"126406",,Residential,"2","4",302657.799805,2258.5966,792089.979423257,5753648.33536621
"126407",,Residential,"3","3",436039.575684,3936.3664,789242.201896266,5751982.74459978
"126409",,Residential,"2","4",217122.346191,2200.4232,792241.980747176,5754059.19193522
"126410",,Residential,"3","3",307667.908691,2575.9691,787999.439017575,5750474.42028475
"126411",,Residential,"2","4",430475.994629,3202.9741,789692.496028965,5752041.73873462
"126413",Torquay,Town,"1","1",614625.276855,3539.3622,790195.111021813,5751542.48308552
"126414",Whites Beach,Beach,"1","5",161412.277832,3374.1407,790561.111406455,5751377.09281903
"1010076",Car Park near Bowels club,Open Space,"2","4",12717.374023,760.0904,778566.565731809,5744374.16399952
"1010077",Golf Club,Building carpark,"4","2",12297.481445,425.9421,776911.116261939,5744395.31379908
"1010078",Golf Fairway,Open Space,"4","2",211555.166992,2147.8017,777049.491377901,5744045.12128761
"1010079",Aireys Inlet 4,Residential,"3","2",57125.890137,1160.2454,770816.93272844,5738418.49236143
"1010080",Aireys Inlet 5,Residential,"3","2",46823.511719,1069.7671,770483.896688435,5738228.93432269
"1010081",NSP,Open Air,"3","4",9971.705078,736.9678,770423.143226585,5738052.43434643
"1010082",Aireys Pub,Building / Open air,"3","4",7555.164062,348.7894,770925.250436505,5738417.25117341
"1010083",Aireys Beach,Beach,"3","4",6290.383789,545.0253,771581.803662605,5738595.98474283
"1010084",River Mouth,Beach,"3","4",19794.965820,755.7883,770470.330021782,5737633.68894544
"1010085",Surf Club,Building,"3","4",9890.925293,388.4266,769139.399818792,5737680.05099942
"1010086",NSP Surf Club,NSP,"2","4",33029.979492,776.3036,759414.662987548,5729942.34603638
"1010087",Main Beach,Beach,"2","4",70588.686523,1990.3592,759621.645704915,5730564.32432918
"1010088",Point Grey,NSP,"3","3",16098.254150,580.8413,760243.780622425,5729063.29963778
"1010089",Spout Creek,Beach,"4","3",52724.404053,1165.6817,764774.184187139,5736863.02217048
"1010090",Geelong,Residential,"1","5",46360732.855469,28441.5439,793176.81224368,5768999.20766906
"1012297",,Town,"1","5",1072626.301758,4151.7014,725946.634709856,5753152.68589706
"1012298",,Town,"1","5",202924.259766,1802.7124,743345.54165134,5752749.80696866
"1012299",,Town,"1","5",25458.788086,641.8749,761683.361349673,5762954.93507857
"1021120",,Isolated Property,"3","3",7803.614014,313.6548,737132.598536439,5756465.13326875
"1021121",,Isolated Property,"3","3",7803.613037,313.6548,738634.731868581,5755726.45892644
"1021122",,Isolated Property,"3","3",7803.612305,313.6548,741261.370238177,5755450.82979111
"1021123",,Isolated Property,"3","3",7803.612305,313.6548,738664.128222311,5757398.27775701
"1021124",,Isolated Property,"3","3",7803.612793,313.6548,739244.573159806,5759694.96463145
"1021125",,Isolated Property,"3","3",7803.611816,313.6548,736465.980702405,5758175.30007303
"1021126",,Isolated Property,"3","3",7803.613281,313.6548,732704.472053944,5756273.61020366
"1021127",,Isolated Property,"3","3",7803.612793,313.6548,730543.954710284,5756315.96462603
"1021128",,Isolated Property,"3","3",7803.613281,313.6548,741340.682388301,5764174.47916818
"1021129",,Isolated Property,"3","3",7803.612549,313.6548,734745.240533539,5755651.6093895
"1021130",,Isolated Property,"3","3",7803.614258,313.6548,737652.430700118,5755779.0498718
"1021131",,Isolated Property,"3","3",7803.612793,313.6548,740317.073804212,5758032.46358379
"1021132",,Isolated Property,"3","3",7803.612305,313.6548,731870.424450529,5755968.67781225
"1021133",,Isolated Property,"3","3",7803.612549,313.6548,737990.649040134,5760120.94393742
"1021134",,Isolated Property,"3","3",7803.612305,313.6548,740975.614980816,5756927.71068399
"1021135",,Isolated Property,"3","3",7803.612061,313.6548,737501.235736088,5752676.40239196
"1021136",,Isolated Property,"3","3",7803.613037,313.6548,733293.689554758,5747238.78123849
"1021137",,Isolated Property,"3","3",7803.611572,313.6548,736588.998227963,5747601.11818295
"1021138",,Isolated Property,"3","3",7803.613281,313.6548,734831.509639104,5746969.80405855
"1021139",,Isolated Property,"3","3",7803.612793,313.6548,740298.139533637,5750010.65234661
"1021140",,Isolated Property,"3","3",7803.613525,313.6548,736477.064597715,5751601.99082207
"1021141",,Isolated Property,"3","3",7803.611816,313.6548,737631.590510948,5740086.92935587
"1021142",,Isolated Property,"3","3",7803.613281,313.6548,734573.180551899,5750437.11024185
"1021143",,Isolated Property,"3","3",7803.613525,313.6548,739625.168707476,5742065.68491859
"1021144",,Isolated Property,"3","3",7803.613281,313.6548,740165.232005426,5742575.58523911
"1021145",,Isolated Property,"3","3",7803.613281,313.6548,741052.544589513,5749169.95172541
"1021146",,Isolated Property,"3","3",7803.612549,313.6548,738853.270345079,5740829.41996034
"1021147",,Isolated Property,"3","3",7803.612549,313.6548,740309.740820525,5747449.02010702
"1021148",,Isolated Property,"3","3",7803.614502,313.6548,736363.815104596,5748707.42154193
"1021149",,Isolated Property,"3","3",7803.613037,313.6548,738148.990744946,5745474.98947429
"1021150",,Isolated Property,"3","3",7803.613770,313.6548,740862.180448373,5740794.72000761
"1021151",,Isolated Property,"3","3",7803.612061,313.6548,736308.320318083,5743128.17990532
"1021152",,Isolated Property,"3","3",7803.613525,313.6548,740865.280132681,5753305.59951792
"1021153",,Isolated Property,"3","3",7803.612793,313.6548,739816.161406645,5746738.7770876
"1021154",,Isolated Property,"3","3",7803.613037,313.6548,739613.889855284,5752468.79708353
"1021155",,Isolated Property,"3","3",7803.612793,313.6548,738591.68696946,5749697.63441455
"1021156",,Isolated Property,"3","3",7803.613037,313.6548,735253.750678126,5749398.22947528
"1021157",,Isolated Property,"3","3",7803.612549,313.6548,740828.704761805,5738547.25913742
"1021158",,Isolated Property,"3","3",7803.612793,313.6548,737805.469078606,5738547.45572292
"1021159",,Isolated Property,"3","3",7803.613770,313.6548,732679.886896826,5737738.95516341
"1021160",,Isolated Property,"3","3",7803.613037,313.6548,740190.541135014,5737848.41113645
"1021161",,Isolated Property,"3","3",7803.613037,313.6548,734094.785253705,5736814.27314449
"1021162",,Isolated Property,"3","3",7803.612061,313.6548,734104.184944752,5739296.09116083
"1021163",,Isolated Property,"3","3",7803.614258,313.6548,739198.018707216,5738320.53048431
"1021164",,Isolated Property,"3","3",7803.614746,313.6548,767558.035915879,5777711.98252956
"1021165",,Isolated Property,"3","3",7803.611816,313.6548,767620.680800027,5773974.62328346
"1021166",,Isolated Property,"3","3",7803.611328,313.6548,770304.20800516,5770445.33437372
"1021167",,Isolated Property,"3","3",7803.611816,313.6548,766728.618195617,5754449.11666823
"1021168",,Isolated Property,"3","3",7803.612793,313.6548,767594.058390564,5747099.85919455
"1021169",,Isolated Property,"3","3",7803.614746,313.6548,769015.386225994,5772145.45092975
"1021170",,Isolated Property,"3","3",7803.611816,313.6548,775622.596822038,5770963.35534015
"1021171",,Isolated Property,"3","3",7803.614746,313.6548,776981.487542544,5770712.86209831
"1021172",,Isolated Property,"3","3",7803.613770,313.6548,776587.15706521,5774133.67566696
"1021173",,Isolated Property,"3","3",7803.613281,313.6548,766863.938896038,5771638.52641214
"1021174",,Isolated Property,"3","3",7803.614258,313.6548,776691.682877335,5769809.08661285
"1021175",,Isolated Property,"3","3",7803.613281,313.6548,777182.198722343,5772540.99037209
"1021176",,Isolated Property,"3","3",7803.613281,313.6548,778701.302196129,5773040.4845913
"1021177",,Isolated Property,"3","3",7803.613281,313.6548,778114.000775531,5776610.99934577
"1021178",,Isolated Property,"3","3",7803.613770,313.6548,776395.001131649,5777169.99968882
"1021179",,Isolated Property,"3","3",7803.612793,313.6548,770038.418598018,5777571.6718036
"1021180",,Isolated Property,"3","3",7803.612305,313.6548,775789.429209914,5775918.78792589
"1021181",,Isolated Property,"3","3",7803.614258,313.6548,772018.811032331,5776967.78491499
"1021182",,Isolated Property,"3","3",7803.611816,313.6548,778481.076652777,5770483.31027382
"1021183",,Isolated Property,"3","3",7803.615234,313.6548,768447.004495837,5777254.52062509
"1021184",,Isolated Property,"3","3",7803.612305,313.6548,774639.221412986,5776442.55362255
"1021185",,Isolated Property,"3","3",7803.612305,313.6548,775147.900494827,5769933.73834245
"1021186",,Isolated Property,"3","3",7803.612793,313.6548,773786.523151075,5771497.76192699
"1021187",,Isolated Property,"3","3",7803.612793,313.6548,777128.194746313,5754130.30703156
"1021188",,Isolated Property,"3","3",7803.613281,313.6548,774007.61040898,5772921.22609867
"1021189",,Isolated Property,"3","3",7803.612305,313.6548,767542.271286079,5775330.32608443
"1021190",,Isolated Property,"3","3",7803.612305,313.6548,742999.350641397,5739023.52965426
"1021191",,Isolated Property,"3","3",7803.614258,313.6548,756323.396447534,5732023.33198837
"1021192",,Isolated Property,"3","3",7803.613525,313.6548,756385.803929001,5731981.39175808
"1021193",,Isolated Property,"3","3",7803.612793,313.6548,750797.15575971,5732774.68692368
"1021194",,Isolated Property,"3","3",7803.613281,313.6548,753684.067779664,5733073.65423345
"1021195",,Isolated Property,"3","3",7803.612793,313.6548,744636.20899627,5739507.77818855
"1021196",,Isolated Property,"3","3",7803.612793,313.6548,755283.670148891,5732858.19028355
"1021197",,Isolated Property,"3","3",7803.613770,313.6548,748503.34044976,5749497.58986668
"1021198",,Isolated Property,"3","3",7803.612549,313.6548,743584.491141776,5753632.35948482
"1021199",,Isolated Property,"3","3",7803.612793,313.6548,747437.187500147,5746460.31600964
"1021200",,Isolated Property,"3","3",7803.612305,313.6548,745090.509254123,5741919.54394061
"1021201",,Isolated Property,"3","3",7803.613037,313.6548,748740.660138653,5746711.76009244
"1021202",,Isolated Property,"3","3",7803.613281,313.6548,742516.050107718,5743719.18947078
"1021203",,Isolated Property,"3","3",7803.612305,313.6548,745061.395507077,5753846.72140026
"1021204",,Isolated Property,"3","3",7803.613281,313.6548,747528.732941783,5743235.87612632
"1021205",,Isolated Property,"3","3",7803.612549,313.6548,742745.767020027,5751740.71019895
"1021206",,Isolated Property,"3","3",7803.613770,313.6548,747131.140424645,5751845.32942236
"1021207",,Isolated Property,"3","3",7803.612549,313.6548,747560.590897067,5741190.6299193
"1021208",,Isolated Property,"3","3",7803.612305,313.6548,745371.363422094,5754402.2681444
"1021209",,Isolated Property,"3","3",7803.613525,313.6548,743681.279865863,5754072.70536653
"1021210",,Isolated Property,"3","3",7803.613770,313.6548,747736.070582146,5754988.57946093
"1021211",,Isolated Property,"3","3",7803.612549,313.6548,748452.120311946,5743843.08009282
"1021212",,Isolated Property,"3","3",7803.613770,313.6548,749575.311636751,5754688.69132448
"1021213",,Isolated Property,"3","3",7803.613281,313.6548,744952.860878801,5751829.01970958
"1021214",,Isolated Property,"3","3",7803.613037,313.6548,745103.590173797,5746382.06953421
"1021215",,Isolated Property,"3","3",7803.612061,313.6548,745082.815048882,5742857.44187336
"1021216",,Isolated Property,"3","3",7803.611572,313.6548,746619.500483097,5752687.96023352
"1021217",,Isolated Property,"3","3",7803.612549,313.6548,742295.614912106,5745910.72915224
"1021218",,Isolated Property,"3","3",7803.613281,313.6548,749161.600242826,5745810.75926722
"1021219",,Isolated Property,"3","3",7803.612549,313.6548,749773.660945906,5753930.68983292
"1021220",,Isolated Property,"3","3",7803.612793,313.6548,747312.687445366,5745524.39910849
"1021221",,Isolated Property,"3","3",7803.613037,313.6548,743431.140618557,5747082.76983187
"1021222",,Isolated Property,"3","3",7803.613770,313.6548,746639.920408138,5749119.20921848
"1021223",,Isolated Property,"3","3",7803.612793,313.6548,741587.350636861,5744459.98619756
"1021224",,Isolated Property,"3","3",7803.612793,313.6548,749014.70000961,5740578.80526002
"1021225",,Isolated Property,"3","3",7803.613281,313.6548,750409.551521891,5751438.91480073
"1021226",,Isolated Property,"3","3",7803.612793,313.6548,751718.067298136,5746271.57212511
"1021227",,Isolated Property,"3","3",7803.613281,313.6548,752372.062320542,5744707.43566618
"1021228",,Isolated Property,"3","3",7803.612305,313.6548,751971.130165471,5748848.23684288
"1021229",,Isolated Property,"3","3",7803.613037,313.6548,751811.914317732,5745866.66135086
"1021230",,Isolated Property,"3","3",7803.613037,313.6548,752073.516788673,5753830.97187095
"1021231",,Isolated Property,"3","3",7803.613037,313.6548,753210.486879109,5749024.53501016
"1021232",,Isolated Property,"3","3",7803.612793,313.6548,752824.692143408,5746877.79542639
"1021233",,Isolated Property,"3","3",7803.612793,313.6548,751342.415053842,5753904.09341249
"1021234",,Isolated Property,"3","3",7803.613525,313.6548,750137.263108201,5754585.75606856
"1021235",,Isolated Property,"3","3",7803.613281,313.6548,743313.290765011,5748294.57015754
"1021236",,Isolated Property,"3","3",7803.614014,313.6548,745290.629992816,5744183.21044963
"1021237",,Isolated Property,"3","3",7803.611816,313.6548,745435.418122091,5749452.02012442
"1021238",,Isolated Property,"3","3",7803.613281,313.6548,753118.483623397,5750995.66988321
"1021239",,Isolated Property,"3","3",7803.612305,313.6548,743671.360466835,5741429.14884914
"1021240",,Isolated Property,"3","3",7803.613770,313.6548,755325.003794339,5751738.31114336
"1021241",,Isolated Property,"3","3",7803.611816,313.6548,755999.156955062,5752001.7790435
"1021242",,Isolated Property,"3","3",7803.613281,313.6548,762206.246236295,5752867.37283829
"1021243",,Isolated Property,"3","3",7803.611572,313.6548,761323.821866473,5746257.75716494
