ID,Nodeno,LandUse,EvacID,NuminZone,Size,Town,Prob,ProbLow,ProbHigh,AddinZone,NuminTown,Counter,xcoord,ycoord
13193833,172690,EvacZone,181,1,34,ANGLESEA,0.004827,0.000000,0.000000,34,7044.000000,1,776912.58012,5743569.34535
13193834,172692,EvacZone,149,1,159,ANGLESEA,0.022572,0.000000,0.000000,159,7044.000000,1,776543.69358,5744025.32377
13193835,172693,EvacZone,180,3,30,ANGLESEA,0.004259,0.000000,0.000000,89,7044.000000,1,776568.93523,5743689.84358
13193836,172695,EvacZone,145,1,35,ANGLESEA,0.005821,0.000000,0.000000,35,7044.000000,1,777034.92958,5743303.37519
13193837,172698,EvacZone,179,1,88,ANGLESEA,0.004117,0.000000,0.000000,88,7044.000000,1,776307.30846,5743529.85690
13193838,172700,EvacZone,144,1,71,ANGLESEA,0.004117,0.000000,0.000000,71,7044.000000,1,776794.50326,5743015.27600
13193839,172703,EvacZone,205,1,31,ANGLESEA,0.002271,0.000000,0.000000,31,7044.000000,1,777433.44518,5742989.29069
13193840,172705,EvacZone,206,1,30,ANGLESEA,0.004259,0.000000,0.000000,30,7044.000000,1,777500.53929,5742738.52265
13193841,172706,EvacZone,152,1,49,ANGLESEA,0.003407,0.000000,0.000000,49,7044.000000,1,777487.95417,5742688.01830
13193842,172709,EvacZone,204,1,38,ANGLESEA,0.001846,0.000000,0.000000,38,7044.000000,1,776998.65426,5742753.99225
13193843,172710,EvacZone,203,1,31,ANGLESEA,0.004401,0.000000,0.000000,31,7044.000000,1,777138.78893,5742579.41607
13193844,172711,EvacZone,151,1,59,ANGLESEA,0.008376,0.000000,0.000000,59,7044.000000,1,777426.47243,5742212.49281
13193845,172714,EvacZone,147,3,32,ANGLESEA,0.004543,0.000000,0.000000,96,7044.000000,1,777026.20062,5742386.54281
13193846,172716,EvacZone,143,1,34,ANGLESEA,0.004827,0.000000,0.000000,34,7044.000000,1,776829.55840,5742643.67371
13193847,172718,EvacZone,142,1,46,ANGLESEA,0.006530,0.000000,0.000000,46,7044.000000,1,776690.27774,5742422.63392
13193848,172719,EvacZone,159,1,38,ANGLESEA,0.002697,0.000000,0.000000,38,7044.000000,1,777908.65123,5743500.16013
13193849,172720,EvacZone,158,1,46,ANGLESEA,0.002129,0.000000,0.000000,46,7044.000000,1,777837.33273,5743458.02044
13193850,172723,EvacZone,155,1,56,ANGLESEA,0.007950,0.000000,0.000000,56,7044.000000,1,777520.45076,5743372.81009
13193851,172724,EvacZone,208,1,121,ANGLESEA,0.017178,0.000000,0.000000,121,7044.000000,1,777754.41160,5743648.96788
13193852,172725,EvacZone,161,1,65,ANGLESEA,0.009228,0.000000,0.000000,65,7044.000000,1,777637.89425,5743883.44763
13193853,172726,EvacZone,148,1,59,ANGLESEA,0.008376,0.000000,0.000000,59,7044.000000,1,777201.16513,5743148.09301
13193854,172729,EvacZone,153,1,53,ANGLESEA,0.007524,0.000000,0.000000,53,7044.000000,1,777396.90649,5743429.09618
13193855,172731,EvacZone,150,1,46,ANGLESEA,0.006530,0.000000,0.000000,46,7044.000000,1,777187.97219,5743292.75372
13193856,172733,EvacZone,166,1,101,ANGLESEA,0.004827,0.000000,0.000000,101,7044.000000,1,777719.20576,5744296.47193
13193857,172734,EvacZone,170,1,50,ANGLESEA,0.007098,0.000000,0.000000,50,7044.000000,1,778011.32591,5744510.41182
13193858,172737,Caravan Park,163,1,48,ANGLESEA,0.000000,0.000000,0.000000,48,7044.000000,1,777704.05806,5743980.73808
13193859,172742,EvacZone,169,1,81,ANGLESEA,0.011499,0.000000,0.000000,81,7044.000000,1,777578.61234,5744784.26967
13193860,172745,EvacZone,209,1,96,ANGLESEA,0.013629,0.000000,0.000000,96,7044.000000,1,777528.01183,5744592.20828
13193861,172746,EvacZone,168,1,36,ANGLESEA,0.005111,0.000000,0.000000,36,7044.000000,1,777670.33265,5744463.21432
13193862,172747,EvacZone,157,1,66,ANGLESEA,0.009370,0.000000,0.000000,66,7044.000000,1,777188.74097,5744535.42110
13193863,172748,EvacZone,165,1,31,ANGLESEA,0.004401,0.000000,0.000000,31,7044.000000,1,777089.45703,5744530.14634
13193864,172750,Hotel,164,1,100,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778210.63486,5744138.97464
13193865,172752,EvacZone,164,1,173,ANGLESEA,0.008234,0.000000,0.000000,173,7044.000000,1,778184.49371,5744067.60194
13193866,172754,EvacZone,167,1,35,ANGLESEA,0.004969,0.000000,0.000000,35,7044.000000,1,778079.62738,5744274.93348
13193867,172757,Kindergarten,164,1,30,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778154.87981,5743919.35957
13193868,172759,EvacZone,162,1,72,ANGLESEA,0.010221,0.000000,0.000000,72,7044.000000,1,778120.34867,5743785.33014
13193869,172760,EvacZone,163,1,48,ANGLESEA,0.001420,0.000000,0.000000,48,7044.000000,1,777757.59213,5743865.85384
13193870,172761,Shops,160,1,30,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778279.66613,5743500.15352
13193871,172763,EvacZone,160,1,111,ANGLESEA,0.015758,0.000000,0.000000,111,7044.000000,1,778158.99318,5743545.25656
13193872,172764,Beach,160,1,200,ANGLESEA,0.200000,0.000000,0.000000,0,7044.000000,1,778406.90316,5743587.79637
13193873,172767,NSP,160,1,500,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778358.96582,5743692.86289
13193874,172770,Beach,164,1,20,ANGLESEA,0.100000,0.000000,0.000000,0,7044.000000,1,778237.06886,5743964.79164
13193875,172771,EvacZone,73,1,1,ANGLESEA,0.026689,0.000000,0.000000,1,7044.000000,1,778646.91065,5743887.89209
13193876,172772,Caravan Park,73,1,500,ANGLESEA,0.000000,0.000000,0.000000,563,7044.000000,1,778649.17232,5743860.56825
13193877,172775,Shops,172,1,100,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778433.82508,5744429.17115
13193878,172776,Business District,172,1,400,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778463.27590,5744455.45530
13193879,172777,Shops,172,1,400,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778482.57737,5744462.75843
13193880,172778,NSP,172,1,400,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778507.88547,5744455.63954
13193881,172779,Secondary,172,1,100,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778546.67853,5744446.73313
13193882,172780,EvacZone,172,1,64,ANGLESEA,0.009086,0.000000,0.000000,64,7044.000000,1,778669.73400,5744469.54965
13193883,172781,EvacZone,171,1,38,ANGLESEA,0.001846,0.000000,0.000000,38,7044.000000,1,778313.65253,5744590.77646
13193884,172784,EvacZone,71,1,41,ANGLESEA,0.005821,0.000000,0.000000,41,7044.000000,1,778998.95182,5744092.75721
13193885,172785,EvacZone,72,1,34,ANGLESEA,0.004827,0.000000,0.000000,34,7044.000000,1,779060.59145,5744152.03038
13193886,172786,EvacZone,70,1,86,ANGLESEA,0.004117,0.000000,0.000000,86,7044.000000,1,778887.78374,5744453.09544
13193887,172789,EvacZone,177,1,38,ANGLESEA,0.005395,0.000000,0.000000,38,7044.000000,1,778656.32946,5744674.31198
13193888,172791,EvacZone,174,1,41,ANGLESEA,0.005821,0.000000,0.000000,41,7044.000000,1,778469.25079,5744788.70201
13193889,172793,EvacZone,173,1,41,ANGLESEA,0.005821,0.000000,0.000000,41,7044.000000,1,778453.86883,5744716.97295
13193890,172794,Camp,67,1,100,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778836.49665,5745094.30493
13193891,172795,EvacZone,67,1,42,ANGLESEA,0.005963,0.000000,0.000000,42,7044.000000,1,778889.72479,5744956.49892
13193892,172796,EvacZone,69,1,25,ANGLESEA,0.001136,0.000000,0.000000,25,7044.000000,1,779042.99134,5744590.90353
13193893,172797,Business District,69,1,100,ANGLESEA,0.000000,0.000000,0.000000,25,7044.000000,1,779012.88562,5744520.34118
13193894,172799,Camp,69,1,100,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778948.04363,5744611.19874
13193895,172801,EvacZone,68,1,58,ANGLESEA,0.008234,0.000000,0.000000,58,7044.000000,1,778824.77616,5744728.18944
13193896,172805,EvacZone,176,1,45,ANGLESEA,0.006388,0.000000,0.000000,45,7044.000000,1,778555.65559,5744968.98653
13193897,172807,EvacZone,66,1,47,ANGLESEA,0.006672,0.000000,0.000000,47,7044.000000,1,778617.89526,5744890.49708
13193898,172808,EvacZone,178,1,29,ANGLESEA,0.004117,0.000000,0.000000,29,7044.000000,1,778734.79042,5745076.17734
13193899,172809,EvacZone,175,1,68,ANGLESEA,0.004827,0.000000,0.000000,68,7044.000000,1,778565.91298,5745186.07806
13193900,172811,Primary,217,1,100,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778779.70651,5745319.61958
13193901,172812,Business District,217,2,20,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,778791.70915,5745372.55639
13193902,172813,Business District,217,2,30,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,779513.96035,5746544.88888
13193903,172814,Beach,196,1,200,RURAL,0.000000,0.000000,0.000000,3,8822.000000,1,783893.99460,5745788.90364
13193904,172815,EvacZone,199,2,30,BELLBRAE,0.204082,0.000000,0.000000,60,147.000000,1,784349.47726,5748738.45370
13193905,172816,EvacZone,64,1,2,BELLBRAE,0.013605,0.000000,0.000000,2,147.000000,1,783275.79034,5747879.40318
13193906,172817,Beach,200,2,50,RURAL,0.000000,0.000000,0.000000,50,8822.000000,1,786985.47082,5748372.83646
13193907,172818,Beach,200,2,100,RURAL,0.000000,0.000000,0.000000,50,8822.000000,1,786255.54497,5747965.81546
13193908,172819,EvacZone,199,2,30,BELLBRAE,0.204082,0.000000,0.000000,60,147.000000,1,783883.92603,5749068.46106
13193909,172820,EvacZone,200,1,50,BELLBRAE,0.340136,0.000000,0.000000,50,147.000000,1,785564.44736,5749567.91519
13193910,172821,EvacZone,30,2,135,BELLS BEACH,0.500000,0.000000,0.000000,270,270.000000,1,787732.26408,5749845.88297
13193911,172822,EvacZone,30,2,135,BELLS BEACH,0.500000,0.000000,0.000000,270,270.000000,1,787270.38963,5749732.90761
13193912,172823,EvacZone,31,1,92,RURAL,0.010428,0.000000,0.000000,92,8822.000000,1,787120.50826,5750731.62448
13193913,172824,EvacZone,58,2,82,RURAL,0.009295,0.000000,0.000000,164,8822.000000,1,786410.44631,5751655.14627
13193914,172825,EvacZone,32,1,264,JAN JUC,0.094726,0.000000,0.000000,264,2787.000000,1,788233.29916,5750636.77437
13193915,172826,Beach,35,1,30,JAN JUC,0.000000,0.000000,0.000000,234,2787.000000,1,788528.10978,5750214.98843
13193916,172827,EvacZone,35,1,234,JAN JUC,0.083961,0.000000,0.000000,234,2787.000000,1,788325.71422,5750146.95933
13193917,172828,EvacZone,57,1,233,JAN JUC,0.083602,0.000000,0.000000,233,2787.000000,1,788027.29114,5750472.52490
13193918,172829,EvacZone,37,2,176,JAN JUC,0.063150,0.000000,0.000000,351,2787.000000,1,787937.70214,5751162.72229
13193919,172830,EvacZone,215,1,43,RURAL,0.002834,0.000000,0.000000,43,8822.000000,1,785244.23233,5752161.03719
13193920,172831,EvacZone,214,1,50,RURAL,0.002834,0.000000,0.000000,50,8822.000000,1,785214.61151,5752348.59514
13193921,172832,EvacZone,36,2,142,JAN JUC,0.050951,0.000000,0.000000,285,2787.000000,1,788696.08706,5751173.99170
13193922,172833,EvacZone,37,2,176,JAN JUC,0.063150,0.000000,0.000000,351,2787.000000,1,788334.33559,5751313.72399
13193923,172834,EvacZone,34,2,198,JAN JUC,0.071044,0.000000,0.000000,395,2787.000000,1,788959.75094,5751147.12534
13193924,172835,EvacZone,36,2,142,JAN JUC,0.050951,0.000000,0.000000,285,2787.000000,1,788647.32407,5750826.88501
13193925,172836,EvacZone,53,1,314,TORQUAY,0.020784,0.000000,0.000000,314,15108.000000,1,789097.32235,5752238.20416
13193926,172837,EvacZone,33,1,296,TORQUAY,0.019592,0.000000,0.000000,296,15108.000000,1,788969.59653,5751740.77668
13193927,172838,Beach,34,1,100,JAN JUC,0.000000,0.000000,0.000000,395,2787.000000,1,789125.65437,5750638.52234
13193928,172839,EvacZone,34,2,198,JAN JUC,0.071044,0.000000,0.000000,395,2787.000000,1,789016.73660,5750696.19489
13193929,172840,Beach,54,3,100,TORQUAY,0.000000,0.000000,0.000000,224,15108.000000,1,790006.00295,5750945.92830
13193930,172841,Golf Club,34,1,200,JAN JUC,0.000000,0.000000,0.000000,395,2787.000000,1,789434.99816,5751266.44194
13193931,172842,EvacZone,29,1,244,TORQUAY,0.016150,0.000000,0.000000,244,15108.000000,1,787800.28023,5753848.22042
13193932,172843,EvacZone,54,2,336,TORQUAY,0.022240,0.000000,0.000000,673,15108.000000,1,790479.87424,5751274.90985
13193933,172844,Beach,54,3,300,TORQUAY,0.000000,0.000000,0.000000,224,15108.000000,1,790641.84348,5751394.20125
13193934,172845,Caravan Park,54,1,500,TORQUAY,0.000000,0.000000,0.000000,673,15108.000000,1,790106.78926,5751427.52566
13193935,172846,Shops,59,1,50,TORQUAY,0.000000,0.000000,0.000000,235,15108.000000,1,789902.15203,5752276.48654
13193936,172847,EvacZone,59,1,235,TORQUAY,0.015555,0.000000,0.000000,235,15108.000000,1,789662.47098,5752203.25845
13193937,172848,EvacZone,207,3,23,RURAL,0.002607,0.000000,0.000000,68,8822.000000,1,781426.47412,5753993.01837
13193938,172849,Shops,41,1,200,TORQUAY,0.000000,0.000000,0.000000,873,15108.000000,1,789974.17245,5752810.54643
13193939,172850,Business District,41,1,300,TORQUAY,0.000000,0.000000,0.000000,873,15108.000000,1,789848.05453,5752795.44381
13193940,172851,EvacZone,41,2,436,TORQUAY,0.028859,0.000000,0.000000,873,15108.000000,1,789481.27797,5752891.73569
13193941,172852,Beach,54,3,200,TORQUAY,0.000000,0.000000,0.000000,224,15108.000000,1,790599.42678,5751665.27000
13193942,172853,EvacZone,54,2,336,TORQUAY,0.022240,0.000000,0.000000,673,15108.000000,1,790346.32449,5751712.70300
13193943,172854,EvacZone,39,1,692,TORQUAY,0.045804,0.000000,0.000000,692,15108.000000,1,790334.82402,5752066.10890
13193944,172855,Shops,39,3,200,TORQUAY,0.000000,0.000000,0.000000,231,15108.000000,1,790670.88255,5752085.50432
13193945,172856,Shops,39,3,200,TORQUAY,0.000000,0.000000,0.000000,231,15108.000000,1,790505.64718,5752116.69154
13193946,172857,Shops,39,3,100,TORQUAY,0.000000,0.000000,0.000000,231,15108.000000,1,790357.10312,5752184.65303
13193947,172858,EvacZone,58,2,82,TORQUAY,0.005428,0.000000,0.000000,164,15108.000000,1,786742.94089,5754124.51247
13193948,172859,Primary,41,1,873,TORQUAY,0.000000,0.000000,0.000000,873,15108.000000,1,789863.66729,5753170.47836
13193949,172860,EvacZone,10,5,46,RURAL,0.005214,0.000000,0.000000,228,8822.000000,1,785995.93899,5757567.46533
13193950,172861,Beach,40,1,200,TORQUAY,0.000000,0.000000,0.000000,447,15108.000000,1,790861.74053,5752552.89152
13193951,172862,EvacZone,42,2,278,TORQUAY,0.018401,0.000000,0.000000,555,15108.000000,1,790830.75512,5752878.36430
13193952,172863,EvacZone,40,1,447,TORQUAY,0.029587,0.000000,0.000000,447,15108.000000,1,790522.77825,5752567.05382
13193953,172864,EvacZone,42,2,278,TORQUAY,0.018401,0.000000,0.000000,555,15108.000000,1,790383.51846,5752961.19433
13193954,172865,EvacZone,38,2,194,TORQUAY,0.012841,0.000000,0.000000,387,15108.000000,1,790378.41742,5753356.36182
13193955,172866,EvacZone,41,2,436,TORQUAY,0.028859,0.000000,0.000000,873,15108.000000,1,789081.20787,5753796.05846
13193956,172867,EvacZone,47,1,226,TORQUAY,0.014959,0.000000,0.000000,226,15108.000000,1,790883.54905,5754016.67271
13193957,172868,EvacZone,46,1,223,TORQUAY,0.014760,0.000000,0.000000,223,15108.000000,1,790547.89812,5753860.00724
13193958,172869,EvacZone,60,4,63,RURAL,0.007141,0.000000,0.000000,251,8822.000000,1,743679.31674,5755285.53392
13193959,172870,EvacZone,60,4,63,RURAL,0.007141,0.000000,0.000000,251,8822.000000,1,749728.40714,5771140.46260
13193960,172871,EvacZone,3,8,52,RURAL,0.005894,0.000000,0.000000,412,8822.000000,1,763092.08377,5781727.64188
13193961,172872,EvacZone,3,8,52,RURAL,0.005894,0.000000,0.000000,412,8822.000000,1,757936.85094,5782081.99444
13193962,172873,EvacZone,3,8,52,RURAL,0.005894,0.000000,0.000000,412,8822.000000,1,756456.01972,5781039.56430
13193963,172874,EvacZone,3,8,52,RURAL,0.005894,0.000000,0.000000,412,8822.000000,1,754057.11759,5783551.97498
13193964,172875,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,751791.37105,5761241.56957
13193965,172876,EvacZone,3,8,52,RURAL,0.005894,0.000000,0.000000,412,8822.000000,1,764762.17443,5780720.91739
13193966,172877,EvacZone,3,8,52,RURAL,0.005894,0.000000,0.000000,412,8822.000000,1,760914.74611,5777929.52828
13193967,172878,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,755686.95497,5762788.08391
13193968,172879,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,756558.12308,5765800.18233
13193969,172880,EvacZone,3,8,52,INVERLIEGH,0.110874,0.000000,0.000000,412,469.000000,1,765006.75939,5778255.84707
13193970,172881,EvacZone,212,1,110,INVERLIEGH,0.234542,0.000000,0.000000,110,469.000000,1,768173.37241,5779204.83658
13193971,172882,EvacZone,213,1,255,INVERLIEGH,0.543710,0.000000,0.000000,255,469.000000,1,768002.19109,5778281.52406
13193972,172883,Shops,16,1,400,WINCHELSEA,0.000000,0.000000,0.000000,180,1729.000000,1,761647.31617,5762952.48569
13193973,172884,EvacZone,4,1,199,WINCHELSEA,0.115095,0.000000,0.000000,199,1729.000000,1,761099.76466,5763000.49956
13193974,172885,EvacZone,16,1,180,WINCHELSEA,0.104106,0.000000,0.000000,180,1729.000000,1,761438.30395,5761983.68668
13193975,172886,Golf Club,16,1,50,WINCHELSEA,0.000000,0.000000,0.000000,180,1729.000000,1,761289.50657,5762130.29619
13193976,172887,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,755226.85159,5761122.23397
13193977,172888,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,756472.19695,5758720.81804
13193978,172889,Business District,19,1,400,WINCHELSEA,0.000000,0.000000,0.000000,369,1729.000000,1,761856.89786,5763333.34179
13193979,172890,EvacZone,18,1,252,WINCHELSEA,0.145749,0.000000,0.000000,252,1729.000000,1,762070.01485,5763709.90506
13193980,172891,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,763343.18214,5766456.09696
13193981,172892,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,760236.50965,5767663.33029
13193982,172893,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,765454.25928,5769616.54397
13193983,172894,EvacZone,6,5,40,RURAL,0.004534,0.000000,0.000000,201,8822.000000,1,767518.31157,5773276.10213
13193984,172895,EvacZone,6,5,40,RURAL,0.004534,0.000000,0.000000,201,8822.000000,1,764768.88857,5774279.10425
13193985,172896,EvacZone,19,1,369,WINCHELSEA,0.213418,0.000000,0.000000,369,1729.000000,1,762760.02192,5763337.66026
13193986,172897,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,760760.02254,5758146.24527
13193987,172898,EvacZone,5,4,86,RURAL,0.009748,0.000000,0.000000,346,8822.000000,1,768636.40559,5765334.93829
13193988,172899,EvacZone,14,11,31,RURAL,0.003514,0.000000,0.000000,342,8822.000000,1,765869.53575,5764280.71400
13193989,172900,EvacZone,48,1,210,TORQUAY,0.013900,0.000000,0.000000,210,15108.000000,1,791025.14934,5753497.26590
13193990,172901,EvacZone,38,2,194,TORQUAY,0.012841,0.000000,0.000000,387,15108.000000,1,790987.60726,5753149.36161
13193991,172902,EvacZone,51,1,210,TORQUAY,0.013900,0.000000,0.000000,210,15108.000000,1,791266.77389,5753952.72380
13193992,172903,EvacZone,50,1,266,TORQUAY,0.017607,0.000000,0.000000,266,15108.000000,1,791681.98788,5753788.27936
13193993,172904,EvacZone,49,1,241,TORQUAY,0.015952,0.000000,0.000000,241,15108.000000,1,791463.01786,5753500.20281
13193994,172905,EvacZone,43,4,165,TORQUAY,0.043619,0.000000,0.000000,659,15108.000000,1,791381.51832,5754337.32446
13193995,172906,EvacZone,55,3,113,TORQUAY,0.007479,0.000000,0.000000,338,15108.000000,1,791204.07413,5755025.24330
13193996,172907,Secondary,55,1,200,TORQUAY,0.000000,0.000000,0.000000,338,15108.000000,1,790829.71368,5755284.52525
13193997,172908,Business District,55,2,300,TORQUAY,0.000000,0.000000,0.000000,169,15108.000000,1,790484.60538,5754857.18225
13193998,172909,Business District,55,2,300,TORQUAY,0.000000,0.000000,0.000000,169,15108.000000,1,790098.62271,5754759.19639
13193999,172910,EvacZone,52,1,211,TORQUAY,0.013966,0.000000,0.000000,211,15108.000000,1,792296.74816,5753822.60060
13194000,172911,EvacZone,56,1,257,TORQUAY,0.017011,0.000000,0.000000,257,15108.000000,1,792324.99662,5754042.59624
13194001,172912,EvacZone,28,1,223,TORQUAY,0.014760,0.000000,0.000000,223,15108.000000,1,792259.32958,5754417.04540
13194002,172913,EvacZone,55,3,113,TORQUAY,0.007479,0.000000,0.000000,338,15108.000000,1,792399.95013,5754815.32446
13194003,172914,EvacZone,44,1,615,TORQUAY,0.040707,0.000000,0.000000,615,15108.000000,1,793417.98808,5754523.70157
13194004,172915,Golf Club,44,1,100,TORQUAY,0.000000,0.000000,0.000000,615,15108.000000,1,792919.68545,5754526.38383
13194005,172916,EvacZone,55,3,113,TORQUAY,0.007479,0.000000,0.000000,338,15108.000000,1,791273.41393,5755882.37986
13194006,172917,EvacZone,45,2,91,RURAL,0.010315,0.000000,0.000000,182,8822.000000,1,789433.63469,5757450.29064
13194007,172918,EvacZone,45,2,91,RURAL,0.010315,0.000000,0.000000,182,8822.000000,1,789540.05801,5758779.63785
13194008,172919,EvacZone,26,2,281,RURAL,0.031852,0.000000,0.000000,562,8822.000000,1,796078.76693,5755831.22383
13194009,172920,Beach,55,1,30,RURAL,0.000000,0.000000,0.000000,338,8822.000000,1,794242.07800,5754370.29551
13194010,172921,EvacZone,22,2,375,RURAL,0.042507,0.000000,0.000000,750,8822.000000,1,792879.99978,5762163.50466
13194011,172922,Beach,26,3,30,RURAL,0.000000,0.000000,0.000000,187,8822.000000,1,797658.77908,5756257.89872
13194012,172923,EvacZone,25,1,94,RURAL,0.010655,0.000000,0.000000,94,8822.000000,1,796579.03149,5758854.75597
13194013,172924,Beach,26,3,30,RURAL,0.000000,0.000000,0.000000,187,8822.000000,1,800742.88293,5757428.94421
13194014,172925,EvacZone,21,2,98,RURAL,0.011109,0.000000,0.000000,195,8822.000000,1,787224.69933,5765494.38518
13194015,172926,EvacZone,21,2,98,RURAL,0.011109,0.000000,0.000000,195,8822.000000,1,786079.26488,5764052.86840
13194016,172927,Business District,21,1,20,RURAL,0.000000,0.000000,0.000000,195,8822.000000,1,786334.34808,5764005.76275
13194017,172928,EvacZone,22,2,375,RURAL,0.042507,0.000000,0.000000,750,8822.000000,1,791387.37937,5763887.93893
13194018,172929,EvacZone,27,1,1072,RURAL,0.121514,0.000000,0.000000,1072,8822.000000,1,794752.30634,5762339.20657
13194019,172930,EvacZone,24,1,75,RURAL,0.008501,0.000000,0.000000,75,8822.000000,1,785777.29384,5767335.61062
13194020,172931,EvacZone,3,8,52,INVERLIEGH,0.110874,0.000000,0.000000,412,469.000000,1,770566.14046,5778962.92115
13194021,172932,EvacZone,2,5,40,RURAL,0.004534,0.000000,0.000000,202,8822.000000,1,773957.77835,5781743.45900
13194022,172933,EvacZone,2,5,40,RURAL,0.004534,0.000000,0.000000,202,8822.000000,1,772617.82636,5785458.89660
13194023,172934,EvacZone,26,2,281,RURAL,0.031852,0.000000,0.000000,562,8822.000000,1,801871.63378,5757751.52857
13194024,172935,Beach,26,3,30,RURAL,0.000000,0.000000,0.000000,187,8822.000000,1,803106.49192,5756854.63356
13194025,172936,EvacZone,13,3,59,RURAL,0.006688,0.000000,0.000000,178,8822.000000,1,769663.23273,5755643.15767
