"perse","activity","start_time","xcoord","ycoord"
"57","home","0000",784893,5760295
"57","work","0958",786334.34808,5764005.76275
"57","shops","1636",789974.17245,5752810.54643
"57","home","1831",784893,5760295
"58","home","0000",772168,5752691
"58","work","0845",778791.70915,5745372.55639
"58","home","1705",772168,5752691
"58","shops","1954",778279.66613,5743500.15352
"58","home","2129",772168,5752691
"59","home","0000",783010,5763633
"59","shops","0918",790505.64718,5752116.69154
"59","home","1158",783010,5763633
"59","beach","1230",786255.54497,5747965.81546
"59","shops","1440",790670.88255,5752085.50432
"59","work","1620",786334.34808,5764005.76275
"59","home","2359",783010,5763633
"60","home","0000",771740,5763345
"60","beach","0812",790006.00295,5750945.9283
"60","other","1103",777888.65052,5762548.96247
"60","beach","1318",788528.10978,5750214.98843
"60","home","1516",771740,5763345
"60","shops","1640",743497.21054,5753100.09307
"60","home","2057",771740,5763345
"61","home","0000",771203,5763487
"61","work","0837",779513.96035,5746544.88888
"61","home","1706",771203,5763487
"61","other","1858",793202.25852,5769898.53301
"61","home","2002",771203,5763487
"62","home","0000",773618,5758035
"62","work","0013",761289.50657,5762130.29619
"62","home","0952",773618,5758035
"62","other","1215",778546.67853,5744446.73313
"62","shops","1435",789902.15203,5752276.48654
"62","beach","1621",790861.74053,5752552.89152
"62","home","1858",773618,5758035
"63","home","0000",780817,5759834
"63","work","0533",790098.62271,5754759.19639
"63","home","1231",780817,5759834
"63","shops","1515",777902.25512,5762634.6724
"63","other","1653",778779.70651,5745319.61958
"63","home","1804",780817,5759834
"64","home","0000",787223,5759524
"64","work","0903",790484.60538,5754857.18225
"64","shops","1735",790357.10312,5752184.65303
"64","home","1956",787223,5759524
"64","other","2230",778779.70651,5745319.61958
"64","home","2359",787223,5759524
"65","home","0000",778744,5756493
"65","work","0540",779012.88562,5744520.34118
"65","home","1217",778744,5756493
"65","shops","1736",761647.31617,5762952.48569
"65","other","1814",777888.65052,5762548.96247
"65","home","2033",778744,5756493
"66","home","0000",780006,5753873
"66","work","0832",778210.63486,5744138.97464
"66","shops","1715",777902.25512,5762634.6724
"66","home","1853",780006,5753873
"67","home","0000",776956,5756622
"67","beach","1100",778237.06886,5743964.79164
"67","home","1343",776956,5756622
"67","beach","1460",789125.65437,5750638.52234
"67","work","1603",778210.63486,5744138.97464
"67","home","2359",776956,5756622
"68","home","0000",779283,5761812
"68","other","0104",777888.65052,5762548.96247
"68","home","0348",779283,5761812
"68","work","0848",790106.78926,5751427.52566
"68","shops","1633",777902.25512,5762634.6724
"68","home","1818",779283,5761812
"69","home","0000",776401,5759888
"69","work","0944",778210.63486,5744138.97464
"69","home","1651",776401,5759888
"70","home","0000",784209,5764164
"70","work","0917",786334.34808,5764005.76275
"70","beach","1743",794920.60169,5772690.71159
"70","home","1950",784209,5764164
"71","home","0000",771264,5756838
"71","work","0635",761289.50657,5762130.29619
"71","shops","1404",778482.57737,5744462.75843
"71","home","1834",771264,5756838
"72","home","0000",784552,5754873
"72","other","0511",789863.66729,5753170.47836
"72","home","0740",784552,5754873
"72","other","0925",778154.87981,5743919.35957
"72","home","1049",784552,5754873
"72","shops","1343",790505.64718,5752116.69154
"72","beach","1407",788528.10978,5750214.98843
"72","work","1742",792919.68545,5754526.38383
"72","home","2359",784552,5754873
"73","home","0000",786562,5753492
"73","beach","0944",790006.00295,5750945.9283
"73","home","1108",786562,5753492
"73","shops","1304",778279.66613,5743500.15352
"73","beach","1454",788528.10978,5750214.98843
"73","work","1714",790106.78926,5751427.52566
"73","home","2359",786562,5753492
"74","home","0000",773236,5757196
"74","work","0016",779513.96035,5746544.88888
"74","beach","0926",776580.38162,5741915.32936
"74","home","1113",773236,5757196
"74","shops","1508",770351.40111,5738001.92605
"74","home","1833",773236,5757196
"75","home","0000",775788,5756134
"75","work","0838",786334.34808,5764005.76275
"75","home","1650",775788,5756134
"75","other","2243",777888.65052,5762548.96247
"75","home","2359",775788,5756134
"76","home","0000",770615,5763341
"76","work","1032",778791.70915,5745372.55639
"76","other","1911",789863.66729,5753170.47836
"76","home","2034",770615,5763341
"77","home","0000",772987,5752780
"77","work","0645",778649.17232,5743860.56825
"77","shops","1457",778279.66613,5743500.15352
"77","home","1715",772987,5752780
"77","other","2211",778779.70651,5745319.61958
"77","home","2359",772987,5752780
"78","home","0000",773992,5759488
"78","work","0128",778210.63486,5744138.97464
"78","home","0831",773992,5759488
"78","other","1444",777888.65052,5762548.96247
"78","shops","1626",777902.25512,5762634.6724
"78","home","1904",773992,5759488
"79","home","0000",775296,5761291
"79","other","0529",777888.65052,5762548.96247
"79","home","0643",775296,5761291
"79","beach","0852",777498.11629,5741920.33946
"79","home","1339",775296,5761291
"79","work","1614",779513.96035,5746544.88888
"79","home","2359",775296,5761291
"80","home","0000",777523,5757389
"80","work","0910",778463.2759,5744455.4553
"80","shops","1635",777902.25512,5762634.6724
"80","home","2013",777523,5757389
"81","home","0000",771361,5758004
"81","work","0907",759492.64698,5730627.75413
"81","home","1746",771361,5758004
"82","home","0000",782511,5753700
"82","other","1413",777888.65052,5762548.96247
"82","work","1718",730692.55336,5755530.02771
"82","home","2359",782511,5753700
"83","home","0000",787134,5759801
"83","other","0516",790829.71368,5755284.52525
"83","home","0759",787134,5759801
"83","shops","1337",777902.25512,5762634.6724
"83","home","1455",787134,5759801
"83","work","1613",789848.05453,5752795.44381
"83","home","2359",787134,5759801
"84","home","0000",777702,5754093
"84","work","0525",759681.61587,5729403.88001
"84","other","1232",759210.79384,5730135.73036
"84","beach","1430",790861.74053,5752552.89152
"84","shops","1646",759294.96025,5730628.35413
"84","home","1921",777702,5754093
"85","home","0000",780452,5754414
"85","shops","0827",778279.66613,5743500.15352
"85","work","1039",789434.99816,5751266.44194
"85","home","1901",780452,5754414
"85","other","2336",778546.67853,5744446.73313
"85","home","2359",780452,5754414
"86","home","0000",770731,5753784
"86","shops","1031",770351.40111,5738001.92605
"86","other","1222",777888.65052,5762548.96247
"86","beach","1514",786255.54497,5747965.81546
"86","work","1630",771120.82582,5738818.00056
"86","home","2359",770731,5753784
"87","home","0000",784617,5755346
"87","work","0603",790484.60538,5754857.18225
"87","shops","1528",777902.25512,5762634.6724
"87","other","1638",778154.87981,5743919.35957
"87","home","1847",784617,5755346
"88","home","0000",784282,5761686
"88","work","0814",786334.34808,5764005.76275
"88","shops","1632",777902.25512,5762634.6724
"88","home","1802",784282,5761686
"89","home","0000",778610,5761428
"89","beach","0958",786255.54497,5747965.81546
"89","home","1016",778610,5761428
"89","work","1312",790106.78926,5751427.52566
"89","home","2102",778610,5761428
"90","home","0000",780527,5757392
"90","work","0842",778463.2759,5744455.4553
"90","shops","1647",778482.57737,5744462.75843
"90","home","1811",780527,5757392
"91","home","0000",783591,5757825
"91","work","0929",778210.63486,5744138.97464
"91","other","1723",733346.70278,5756267.50925
"91","home","1838",783591,5757825
"92","home","0000",784061,5754373
"92","beach","1115",790599.42678,5751665.27
"92","home","1528",784061,5754373
"92","work","1709",793641.32026,5769328.94189
"92","home","2359",784061,5754373
"93","home","0000",780008,5760584
"93","work","0919",789848.05453,5752795.44381
"93","home","1702",780008,5760584
"94","home","0000",778335,5762820
"94","other","0105",777888.65052,5762548.96247
"94","home","0223",778335,5762820
"94","work","0626",779513.96035,5746544.88888
"94","shops","1443",777902.25512,5762634.6724
"94","beach","1709",794242.078,5754370.29551
"94","home","1835",778335,5762820
"95","home","0000",774504,5760416
"95","shops","0932",777902.25512,5762634.6724
"95","home","1045",774504,5760416
"95","shops","1343",777902.25512,5762634.6724
"95","work","1643",790098.62271,5754759.19639
"95","home","2359",774504,5760416
"96","home","0000",773216,5763531
"96","work","0831",789848.05453,5752795.44381
"96","other","1716",777888.65052,5762548.96247
"96","home","2119",773216,5763531
"97","home","0000",784955,5757711
"97","shops","1009",789902.15203,5752276.48654
"97","beach","1212",778237.06886,5743964.79164
"97","home","1523",784955,5757711
"97","other","1940",789863.66729,5753170.47836
"97","home","2052",784955,5757711
"98","home","0000",772168,5760918
"98","other","0634",778546.67853,5744446.73313
"98","home","0839",772168,5760918
"98","work","1102",777196.72455,5744398.58775
"98","other","1828",777888.65052,5762548.96247
"98","home","2155",772168,5760918
"99","home","0000",787334,5758831
"99","other","0115",790829.71368,5755284.52525
"99","home","0306",787334,5758831
"99","work","0842",761856.89786,5763333.34179
"99","home","1621",787334,5758831
"100","home","0000",770629,5757507
"100","shops","1323",778279.66613,5743500.15352
"100","beach","1455",777498.11629,5741920.33946
"100","work","1706",778463.2759,5744455.4553
"100","home","2359",770629,5757507
"101","home","0000",774117,5760186
"101","other","0146",777888.65052,5762548.96247
"101","home","0253",774117,5760186
"101","work","0721",778463.2759,5744455.4553
"101","beach","1413",778237.06886,5743964.79164
"101","home","1624",774117,5760186
"101","other","1809",778154.87981,5743919.35957
"101","home","2033",774117,5760186
"102","home","0000",776049,5758772
"102","work","0635",778649.17232,5743860.56825
"102","home","1412",776049,5758772
"103","home","0000",787554,5753594
"103","other","0737",792837.45553,5769972.52889
"103","work","0812",789848.05453,5752795.44381
"103","home","1744",787554,5753594
"103","shops","1907",790670.88255,5752085.50432
"103","home","2013",787554,5753594
"104","home","0000",770647,5760612
"104","other","0918",777888.65052,5762548.96247
"104","home","1053",770647,5760612
"104","shops","1536",790670.88255,5752085.50432
"104","work","1717",771154.38036,5738979.16897
"104","home","2359",770647,5760612
"105","home","0000",779118,5755499
"105","work","0719",790484.60538,5754857.18225
"105","beach","1552",777498.11629,5741920.33946
"105","home","1620",779118,5755499
"105","shops","1929",789974.17245,5752810.54643
"105","home","2010",779118,5755499
"106","home","0000",787749,5758729
"106","work","0858",790098.62271,5754759.19639
"106","home","1634",787749,5758729
"107","home","0000",774541,5760706
"107","other","0823",777888.65052,5762548.96247
"107","home","1254",774541,5760706
"107","other","1505",771374.44073,5738835.66619
"107","work","1713",786334.34808,5764005.76275
"107","home","2359",774541,5760706
"108","home","0000",786382,5761980
"108","work","0816",786334.34808,5764005.76275
"108","beach","1737",790861.74053,5752552.89152
"108","shops","1944",790357.10312,5752184.65303
"108","home","2024",786382,5761980
"109","home","0000",787673,5756792
"109","other","0425",790829.71368,5755284.52525
"109","home","0650",787673,5756792
"109","shops","0857",790505.64718,5752116.69154
"109","work","1021",771154.38036,5738979.16897
"109","shops","1808",790505.64718,5752116.69154
"109","home","2149",787673,5756792
"110","home","0000",775768,5755822
"110","work","0734",786334.34808,5764005.76275
"110","other","1522",778779.70651,5745319.61958
"110","home","1855",775768,5755822
"111","home","0000",780565,5764324
"111","work","0812",786334.34808,5764005.76275
"111","home","1729",780565,5764324
"111","shops","1810",777902.25512,5762634.6724
"111","home","2146",780565,5764324
"112","home","0000",780517,5756392
"112","work","0839",778649.17232,5743860.56825
"112","home","1629",780517,5756392
"112","shops","1926",790505.64718,5752116.69154
"112","home","2118",780517,5756392
"113","home","0000",777277,5760024
"113","work","0903",777704.05806,5743980.73808
"113","shops","1657",777902.25512,5762634.6724
"113","home","1955",777277,5760024
"114","home","0000",774252,5754934
"114","other","0632",778154.87981,5743919.35957
"114","work","0914",792919.68545,5754526.38383
"114","home","1640",774252,5754934
"115","home","0000",778293,5754668
"115","other","0507",789863.66729,5753170.47836
"115","home","0647",778293,5754668
"115","work","1020",778791.70915,5745372.55639
"115","home","1953",778293,5754668
"115","shops","2146",792871.83966,5770473.28821
"115","home","2221",778293,5754668
"116","home","0000",771153,5754720
"116","work","0148",793641.32026,5769328.94189
"116","shops","0812",792871.83966,5770473.28821
"116","home","1126",771153,5754720
"116","other","1205",778154.87981,5743919.35957
"116","beach","1514",777498.11629,5741920.33946
"116","home","1637",771153,5754720
"116","other","1817",778546.67853,5744446.73313
"116","home","2109",771153,5754720
"117","home","0000",783337,5756171
"117","work","0116",779012.88562,5744520.34118
"117","home","0821",783337,5756171
"117","shops","1340",789974.17245,5752810.54643
"117","home","1550",783337,5756171
"117","beach","1730",789125.65437,5750638.52234
"117","shops","1823",790670.88255,5752085.50432
"117","home","2032",783337,5756171
"118","home","0000",779800,5759117
"118","shops","1250",777902.25512,5762634.6724
"118","beach","1557",790641.84348,5751394.20125
"118","work","1618",786334.34808,5764005.76275
"118","home","2359",779800,5759117
"119","home","0000",785214,5761285
"119","work","0638",792919.68545,5754526.38383
"119","beach","1522",790006.00295,5750945.9283
"119","shops","1653",789902.15203,5752276.48654
"119","home","1819",785214,5761285
"120","home","0000",772617,5756794
"120","work","0829",779513.96035,5746544.88888
"120","shops","1622",778279.66613,5743500.15352
"120","home","1804",772617,5756794
"121","home","0000",776972,5752790
"121","other","0436",778779.70651,5745319.61958
"121","home","0609",776972,5752790
"121","work","0838",761856.89786,5763333.34179
"121","shops","1706",789974.17245,5752810.54643
"121","home","1810",776972,5752790
"122","home","0000",777540,5759224
"122","work","0839",760006.41615,5728788.01073
"122","home","1733",777540,5759224
"123","home","0000",780631,5760458
"123","other","0302",777888.65052,5762548.96247
"123","home","0506",780631,5760458
"123","work","0855",786334.34808,5764005.76275
"123","shops","1747",777902.25512,5762634.6724
"123","home","2049",780631,5760458
"124","home","0000",777505,5763342
"124","shops","1120",777902.25512,5762634.6724
"124","beach","1207",790599.42678,5751665.27
"124","shops","1530",777902.25512,5762634.6724
"124","work","1732",786334.34808,5764005.76275
"124","home","2359",777505,5763342
"125","home","0000",784192,5758919
"125","other","0320",790829.71368,5755284.52525
"125","home","0525",784192,5758919
"125","work","0823",790098.62271,5754759.19639
"125","home","1649",784192,5758919
"126","home","0000",783355,5757363
"126","work","0404",789434.99816,5751266.44194
"126","beach","1227",803106.49192,5756854.63356
"126","shops","1430",789974.17245,5752810.54643
"126","other","1660",793534.67335,5769831.90665
"126","shops","1900",790670.88255,5752085.50432
"126","home","2041",783355,5757363
"127","home","0000",772683,5752539
"127","work","0820",761856.89786,5763333.34179
"127","shops","1736",789974.17245,5752810.54643
"127","home","2011",772683,5752539
"128","home","0000",778777,5762104
"128","work","0928",793641.32026,5769328.94189
"128","shops","1742",777902.25512,5762634.6724
"128","home","2116",778777,5762104
"129","home","0000",781959,5755568
"129","work","0614",778463.2759,5744455.4553
"129","beach","1548",800742.88293,5757428.94421
"129","shops","1752",770351.40111,5738001.92605
"129","home","1924",781959,5755568
"130","home","0000",783536,5760119
"130","work","0605",786334.34808,5764005.76275
"130","beach","1533",790006.00295,5750945.9283
"130","other","1957",790829.71368,5755284.52525
"130","home","2158",783536,5760119
"131","home","0000",772761,5761577
"131","shops","0938",777902.25512,5762634.6724
"131","work","1152",786334.34808,5764005.76275
"131","shops","1836",790357.10312,5752184.65303
"131","home","2217",772761,5761577
"132","home","0000",771774,5758208
"132","work","0850",759492.64698,5730627.75413
"132","home","1633",771774,5758208
"132","other","1943",789863.66729,5753170.47836
"132","home","2004",771774,5758208
"133","home","0000",776168,5757408
"133","other","0418",771374.44073,5738835.66619
"133","home","0655",776168,5757408
"133","work","1028",761289.50657,5762130.29619
"133","home","1820",776168,5757408
"134","home","0000",777624,5760604
"134","beach","0914",790006.00295,5750945.9283
"134","other","1105",777888.65052,5762548.96247
"134","beach","1535",759326.8826,5729839.13291
"134","work","1741",779012.88562,5744520.34118
"134","home","2359",777624,5760604
"135","home","0000",783838,5757140
"135","shops","1502",790505.64718,5752116.69154
"135","home","1837",783838,5757140
"136","home","0000",771945,5761111
"136","beach","1424",790861.74053,5752552.89152
"136","home","1801",771945,5761111
"137","home","0000",776483,5762166
"137","other","0327",777888.65052,5762548.96247
"137","home","0416",776483,5762166
"137","beach","1355",790006.00295,5750945.9283
"137","work","1642",790098.62271,5754759.19639
"137","home","2359",776483,5762166
"138","home","0000",782882,5763575
"138","other","0941",778779.70651,5745319.61958
"138","work","1044",786334.34808,5764005.76275
"138","home","1947",782882,5763575
"139","home","0000",775001,5761949
"139","work","0006",761289.50657,5762130.29619
"139","home","0854",775001,5761949
"139","shops","1332",777902.25512,5762634.6724
"139","home","1505",775001,5761949
"140","home","0000",773583,5759154
"140","work","0845",760006.41615,5728788.01073
"140","home","1621",773583,5759154
"140","other","1804",777888.65052,5762548.96247
"140","shops","2153",790670.88255,5752085.50432
"140","home","2222",773583,5759154
"141","home","0000",785253,5759648
"141","work","1124",786334.34808,5764005.76275
"141","home","1911",785253,5759648
"142","home","0000",786655,5761389
"142","shops","1234",743497.21054,5753100.09307
"142","beach","1511",794242.078,5754370.29551
"142","work","1635",790098.62271,5754759.19639
"142","home","2359",786655,5761389
"143","home","0000",773980,5762469
"143","other","0629",790829.71368,5755284.52525
"143","work","0903",790098.62271,5754759.19639
"143","shops","1713",777902.25512,5762634.6724
"143","home","2055",773980,5762469
"144","home","0000",774904,5763501
"144","work","0914",759353.31074,5729787.17382
"144","home","1736",774904,5763501
"145","home","0000",785483,5754545
"145","other","0529",790829.71368,5755284.52525
"145","home","0604",785483,5754545
"145","work","0823",790098.62271,5754759.19639
