"person","activity","start_time","xcoord","ycoord"
"27","home","0000",790346.32449,5751712.703
"27","beach","0824",790599.42678,5751665.27
"27","work","1147",790106.78926,5751427.52566
"27","home","1815",790346.32449,5751712.703
"28","home","0000",758779.243,5730016.01736
"28","work","1003",759223.27599,5730566.26203
"28","home","1958",758779.243,5730016.01736
"29","home","0000",776568.93523,5743689.84358
"29","shops","0811",778279.66613,5743500.15352
"29","other","1107",778154.87981,5743919.35957
"29","beach","1353",777498.11629,5741920.33946
"29","shops","1500",778279.66613,5743500.15352
"29","other","2019",778154.87981,5743919.35957
"29","home","2213",776568.93523,5743689.84358
"30","home","0000",760058.11638,5729084.66199
"30","work","0853",760128.0835,5729217.22829
"30","home","1641",760058.11638,5729084.66199
"31","home","0000",777487.95417,5742688.0183
"31","work","0001",778649.17232,5743860.56825
"31","shops","0852",778279.66613,5743500.15352
"31","home","1046",777487.95417,5742688.0183
"31","shops","1411",778279.66613,5743500.15352
"31","home","1640",777487.95417,5742688.0183
"32","home","0000",789433.63469,5757450.29064
"32","work","0402",759175.87554,5731742.96741
"32","home","1255",789433.63469,5757450.29064
"32","other","1439",789863.66729,5753170.47836
"32","home","1734",789433.63469,5757450.29064
"33","home","0000",779060.59145,5744152.03038
"33","other","0507",778779.70651,5745319.61958
"33","home","0615",779060.59145,5744152.03038
"33","beach","1445",778406.90316,5743587.79637
"33","shops","1735",778482.57737,5744462.75843
"33","home","1928",779060.59145,5744152.03038
"34","home","0000",789081.20787,5753796.05846
"34","work","0841",778210.63486,5744138.97464
"34","home","1720",789081.20787,5753796.05846
"34","other","2109",789863.66729,5753170.47836
"34","home","2314",789081.20787,5753796.05846
"35","home","0000",771997.93744,5754788.20245
"35","work","0001",790106.78926,5751427.52566
"35","other","0905",777888.65052,5762548.96247
"35","beach","1130",786255.54497,5747965.81546
"35","home","1231",771997.93744,5754788.20245
"35","beach","1409",790006.00295,5750945.9283
"35","shops","1751",777902.25512,5762634.6724
"35","home","1939",771997.93744,5754788.20245
"36","home","0000",749728.40714,5771140.4626
"36","work","0827",778463.2759,5744455.4553
"36","shops","1639",778279.66613,5743500.15352
"36","home","1913",749728.40714,5771140.4626
"36","shops","2022",761647.31617,5762952.48569
"36","home","2230",749728.40714,5771140.4626
"37","home","0000",752752.15136,5743870.14467
"37","other","0001",778154.87981,5743919.35957
"37","home","0210",752752.15136,5743870.14467
"37","work","0834",732247.51881,5756178.98784
"37","home","1748",752752.15136,5743870.14467
"38","home","0000",762308.30004,5753581.56405
"38","work","0949",760128.0835,5729217.22829
"38","other","1712",771374.44073,5738835.66619
"38","home","1955",762308.30004,5753581.56405
"39","home","0000",756381.81591,5750607.90978
"39","beach","1430",797658.77908,5756257.89872
"39","shops","1753",759294.96025,5730628.35413
"39","home","1928",756381.81591,5750607.90978
"40","home","0000",758999.1162,5730541.69214
"40","other","0703",759074.12513,5730215.34091
"40","shops","0945",759294.96025,5730628.35413
"40","home","1436",758999.1162,5730541.69214
"41","home","0000",759917.94001,5729197.33529
"41","other","0357",759210.79384,5730135.73036
"41","home","0505",759917.94001,5729197.33529
"41","other","0732",759074.12513,5730215.34091
"41","beach","0821",759326.8826,5729839.13291
"41","work","1033",759681.61587,5729403.88001
"41","home","1812",759917.94001,5729197.33529
"41","other","2100",759074.12513,5730215.34091
"41","home","2318",759917.94001,5729197.33529
"42","home","0000",759897.29075,5753954.22426
"42","work","0819",770968.05532,5738364.60103
"42","shops","1715",761647.31617,5762952.48569
"42","home","1931",759897.29075,5753954.22426
"43","home","0000",781113.15438,5757479.63981
"43","other","0638",789863.66729,5753170.47836
"43","home","0918",781113.15438,5757479.63981
"43","beach","1231",797658.77908,5756257.89872
"43","home","1702",781113.15438,5757479.63981
"44","home","0000",778617.89526,5744890.49708
"44","beach","0923",778237.06886,5743964.79164
"44","work","1015",779012.88562,5744520.34118
"44","home","1835",778617.89526,5744890.49708
"45","home","0000",792296.74816,5753822.6006
"45","work","0806",790106.78926,5751427.52566
"45","shops","1617",778279.66613,5743500.15352
"45","other","1944",778154.87981,5743919.35957
"45","home","2123",792296.74816,5753822.6006
"46","home","0000",771492.67893,5738760.13657
"46","work","1125",771120.82582,5738818.00056
"46","other","1951",771374.44073,5738835.66619
"46","home","2114",771492.67893,5738760.13657
"47","home","0000",778079.62738,5744274.93348
"47","work","0953",778463.2759,5744455.4553
"47","home","1750",778079.62738,5744274.93348
"48","home","0000",765787.20785,5737484.41921
"48","work","0859",771120.82582,5738818.00056
"48","home","1611",765787.20785,5737484.41921
"48","shops","1808",759294.96025,5730628.35413
"48","home","2046",765787.20785,5737484.41921
"49","home","0000",769870.69157,5738375.45672
"49","work","0909",770405.93026,5737998.74274
"49","beach","1634",778237.06886,5743964.79164
"49","home","1857",769870.69157,5738375.45672
"50","home","0000",759345.2145,5730922.45531
"50","other","0001",759074.12513,5730215.34091
"50","home","0312",759345.2145,5730922.45531
"50","work","0707",759223.27599,5730566.26203
"50","beach","1520",759551.54671,5730602.07326
"50","shops","1746",759294.96025,5730628.35413
"50","home","1934",759345.2145,5730922.45531
"51","home","0000",773376.59608,5760378.42918
"51","beach","1110",800742.88293,5757428.94421
"51","shops","1501",761647.31617,5762952.48569
"51","work","1731",761856.89786,5763333.34179
"51","home","2359",773376.59608,5760378.42918
"52","home","0000",759055.32694,5729950.41342
"52","work","0923",759374.79717,5729757.06377
"52","other","1655",759074.12513,5730215.34091
"52","shops","1822",759317.42351,5729964.86105
"52","home","2117",759055.32694,5729950.41342
"53","home","0000",771217.13998,5738557.68968
"53","other","1313",771374.44073,5738835.66619
"53","home","1636",771217.13998,5738557.68968
"53","shops","1929",770351.40111,5738001.92605
"53","home","2151",771217.13998,5738557.68968
"53","other","2228",771374.44073,5738835.66619
"53","home","2359",771217.13998,5738557.68968
"54","home","0000",781928.52067,5766752.59938
"54","work","0801",786334.34808,5764005.76275
"54","beach","1604",790599.42678,5751665.27
"54","other","1957",793534.67335,5769831.90665
"54","home","2114",781928.52067,5766752.59938
"55","home","0000",786410.44631,5751655.14627
"55","other","0633",789863.66729,5753170.47836
"55","work","0831",789434.99816,5751266.44194
"55","beach","1647",786985.47082,5748372.83646
"55","home","1809",786410.44631,5751655.14627
"55","other","2024",778779.70651,5745319.61958
"55","home","2359",786410.44631,5751655.14627
"56","home","0000",759764.63385,5731541.01183
"56","shops","0921",759294.96025,5730628.35413
"56","home","1018",759764.63385,5731541.01183
"56","beach","1348",759551.54671,5730602.07326
"56","other","1448",759210.79384,5730135.73036
"56","beach","1619",759551.54671,5730602.07326
"56","other","1937",759210.79384,5730135.73036
"56","home","2010",759764.63385,5731541.01183
"57","home","0000",785995.93899,5757567.46533
"57","other","1126",789863.66729,5753170.47836
"57","shops","1239",789974.17245,5752810.54643
"57","home","1709",785995.93899,5757567.46533
"57","other","1917",777888.65052,5762548.96247
"57","home","2137",785995.93899,5757567.46533
"58","home","0000",777837.33273,5743458.02044
"58","work","0817",777196.72455,5744398.58775
"58","shops","1623",778279.66613,5743500.15352
"58","home","1956",777837.33273,5743458.02044
"59","home","0000",777188.74097,5744535.4211
"59","beach","0957",778237.06886,5743964.79164
"59","shops","1058",778433.82508,5744429.17115
"59","beach","1205",778237.06886,5743964.79164
"59","shops","1510",778433.82508,5744429.17115
"59","home","1645",777188.74097,5744535.4211
"60","home","0000",777487.95417,5742688.0183
"60","other","0645",778154.87981,5743919.35957
"60","work","0855",777704.05806,5743980.73808
"60","home","1617",777487.95417,5742688.0183
"61","home","0000",791381.51832,5754337.32446
"61","other","0910",790829.71368,5755284.52525
"61","shops","1120",790670.88255,5752085.50432
"61","beach","1215",786985.47082,5748372.83646
"61","work","1737",790098.62271,5754759.19639
"61","home","2359",791381.51832,5754337.32446
"62","home","0000",789081.20787,5753796.05846
"62","work","1116",789848.05453,5752795.44381
"62","home","1924",789081.20787,5753796.05846
"62","shops","2013",789974.17245,5752810.54643
"62","home","2231",789081.20787,5753796.05846
"63","home","0000",752752.15136,5743870.14467
"63","work","0720",759492.64698,5730627.75413
"63","beach","1555",776580.38162,5741915.32936
"63","home","1836",752752.15136,5743870.14467
"64","home","0000",771852.54945,5739161.72302
"64","other","0001",771374.44073,5738835.66619
"64","home","0326",771852.54945,5739161.72302
"64","work","0906",771154.38036,5738979.16897
"64","home","1633",771852.54945,5739161.72302
"64","shops","2042",770351.40111,5738001.92605
"64","home","2324",771852.54945,5739161.72302
"65","home","0000",771122.11432,5738261.8873
"65","work","0910",770968.05532,5738364.60103
"65","beach","1647",776580.38162,5741915.32936
"65","home","1911",771122.11432,5738261.8873
"66","home","0000",785244.23233,5752161.03719
"66","work","0001",790484.60538,5754857.18225
"66","beach","0942",790861.74053,5752552.89152
"66","home","1103",785244.23233,5752161.03719
"66","other","1445",789863.66729,5753170.47836
"66","shops","1629",790670.88255,5752085.50432
"66","home","1817",785244.23233,5752161.03719
"67","home","0000",777757.59213,5743865.85384
"67","work","0950",777704.05806,5743980.73808
"67","shops","1623",770351.40111,5738001.92605
"67","home","1916",777757.59213,5743865.85384
"67","other","2046",778154.87981,5743919.35957
"67","home","2206",777757.59213,5743865.85384
"68","home","0000",759397.44605,5729477.33528
"68","shops","0826",759317.42351,5729964.86105
"68","work","1016",759310.02792,5730461.39643
"68","home","1904",759397.44605,5729477.33528
"69","home","0000",762070.01485,5763709.90506
"69","other","0725",792803.19879,5769441.31381
"69","work","0816",761856.89786,5763333.34179
"69","home","1657",762070.01485,5763709.90506
"70","home","0000",783018.76375,5775558.75991
"70","other","0740",792837.45553,5769972.52889
"70","work","0915",786334.34808,5764005.76275
"70","home","1742",783018.76375,5775558.75991
"70","shops","1906",778482.57737,5744462.75843
"70","home","2019",783018.76375,5775558.75991
"71","home","0000",790830.75512,5752878.3643
"71","other","0001",789863.66729,5753170.47836
"71","home","0227",790830.75512,5752878.3643
"71","work","0937",789434.99816,5751266.44194
"71","shops","1602",789974.17245,5752810.54643
"71","home","1946",790830.75512,5752878.3643
"72","home","0000",777637.89425,5743883.44763
"72","beach","0902",778237.06886,5743964.79164
"72","home","1206",777637.89425,5743883.44763
"72","beach","1446",778237.06886,5743964.79164
"72","other","1643",778154.87981,5743919.35957
"72","home","1911",777637.89425,5743883.44763
"72","shops","2159",778279.66613,5743500.15352
"72","home","2344",777637.89425,5743883.44763
"73","home","0000",759434.45072,5730581.38051
"73","work","0001",759492.64698,5730627.75413
"73","home","0926",759434.45072,5730581.38051
"73","shops","1133",759294.96025,5730628.35413
"73","home","1301",759434.45072,5730581.38051
"73","shops","1432",759294.96025,5730628.35413
"73","beach","1723",759551.54671,5730602.07326
"73","home","1805",759434.45072,5730581.38051
"73","other","2033",759074.12513,5730215.34091
"73","home","2310",759434.45072,5730581.38051
"74","home","0000",783225.10193,5760256.97091
"74","work","0940",790106.78926,5751427.52566
"74","shops","1619",778433.82508,5744429.17115
"74","home","1956",783225.10193,5760256.97091
"75","home","0000",788696.08706,5751173.9917
"75","work","0817",790106.78926,5751427.52566
"75","home","1720",788696.08706,5751173.9917
"76","home","0000",778824.77616,5744728.18944
"76","work","0825",779012.88562,5744520.34118
"76","home","1744",778824.77616,5744728.18944
"77","home","0000",751015.37695,5732777.51479
"77","work","0852",759175.87554,5731742.96741
"77","shops","1750",759294.96025,5730628.35413
"77","home","2104",751015.37695,5732777.51479
"78","home","0000",777670.33265,5744463.21432
"78","other","0758",778546.67853,5744446.73313
"78","home","0828",777670.33265,5744463.21432
"78","shops","1649",778433.82508,5744429.17115
"78","home","1822",777670.33265,5744463.21432
"79","home","0000",787270.38963,5749732.90761
"79","beach","0859",788528.10978,5750214.98843
"79","home","1012",787270.38963,5749732.90761
"79","other","1204",790829.71368,5755284.52525
"79","beach","1420",789125.65437,5750638.52234
"79","home","1743",787270.38963,5749732.90761
"79","other","2054",778779.70651,5745319.61958
"79","home","2214",787270.38963,5749732.90761
"80","home","0000",757324.72937,5753696.10808
"80","other","0725",731819.1582,5755960.71592
"80","home","0836",757324.72937,5753696.10808
"80","other","1147",778546.67853,5744446.73313
"80","beach","1201",776580.38162,5741915.32936
"80","shops","1509",761647.31617,5762952.48569
"80","beach","1639",788528.10978,5750214.98843
"80","home","1841",757324.72937,5753696.10808
"81","home","0000",769663.23273,5755643.15767
"81","beach","1249",776580.38162,5741915.32936
"81","home","1433",769663.23273,5755643.15767
"81","work","1718",793641.32026,5769328.94189
"81","home","2359",769663.23273,5755643.15767
"82","home","0000",751015.37695,5732777.51479
"82","shops","1128",759317.42351,5729964.86105
"82","home","1325",751015.37695,5732777.51479
"82","beach","1548",753128.71399,5720791.13233
"82","other","1729",759074.12513,5730215.34091
"82","home","1944",751015.37695,5732777.51479
"83","home","0000",778734.79042,5745076.17734
"83","shops","0845",778482.57737,5744462.75843
"83","work","1157",777704.05806,5743980.73808
"83","home","1830",778734.79042,5745076.17734
"84","home","0000",777719.20576,5744296.47193
"84","other","0533",778546.67853,5744446.73313
"84","home","0736",777719.20576,5744296.47193
"84","shops","0821",778482.57737,5744462.75843
"84","work","1037",779012.88562,5744520.34118
"84","home","1921",777719.20576,5744296.47193
"85","home","0000",777201.16513,5743148.09301
"85","work","0850",777196.72455,5744398.58775
"85","shops","1751",778433.82508,5744429.17115
"85","other","1906",778779.70651,5745319.61958
"85","home","2058",777201.16513,5743148.09301
"86","home","0000",770872.14755,5738550.0034
"86","other","0440",771374.44073,5738835.66619
"86","home","0747",770872.14755,5738550.0034
"86","work","0925",771154.38036,5738979.16897
"86","shops","1712",770351.40111,5738001.92605
"86","home","1821",770872.14755,5738550.0034
"87","home","0000",733788.29987,5756195.91192
"87","other","0702",733346.70278,5756267.50925
"87","home","0837",733788.29987,5756195.91192
"87","other","1038",733346.70278,5756267.50925
"87","shops","1425",732598.98147,5756278.36455
"87","beach","1753",776580.38162,5741915.32936
"87","home","1846",733788.29987,5756195.91192
"88","home","0000",760058.11638,5729084.66199
"88","work","0825",760128.0835,5729217.22829
"88","shops","1731",759317.42351,5729964.86105
"88","home","1811",760058.11638,5729084.66199
"89","home","0000",756456.01972,5781039.5643
"89","other","0744",792837.45553,5769972.52889
"89","work","0930",789434.99816,5751266.44194
"89","shops","1740",790505.64718,5752116.69154
"89","home","1903",756456.01972,5781039.5643
"89","other","2002",731478.52678,5755794.65326
"89","home","2338",756456.01972,5781039.5643
"90","home","0000",772074.33359,5739973.97543
"90","work","0909",771154.38036,5738979.16897
"90","shops","1747",770351.40111,5738001.92605
"90","home","1805",772074.33359,5739973.97543
"91","home","0000",777433.44518,5742989.29069
"91","shops","1030",778279.66613,5743500.15352
"91","beach","1250",778237.06886,5743964.79164
"91","shops","1508",778279.66613,5743500.15352
"91","home","2135",777433.44518,5742989.29069
"92","home","0000",741809.67673,5739886.20485
"92","work","1113",760128.0835,5729217.22829
"92","home","1825",741809.67673,5739886.20485
"93","home","0000",776709.44308,5765805.13965
"93","other","0546",777888.65052,5762548.96247
"93","home","0649",776709.44308,5765805.13965
"93","shops","1119",777902.25512,5762634.6724
"93","beach","1322",790006.00295,5750945.9283
"93","other","1556",777888.65052,5762548.96247
"93","shops","1634",777902.25512,5762634.6724
"93","other","1846",792803.19879,5769441.31381
"93","home","2116",776709.44308,5765805.13965
"94","home","0000",769663.23273,5755643.15767
"94","other","0606",778546.67853,5744446.73313
"94","work","0823",778463.2759,5744455.4553
"94","shops","1616",743497.21054,5753100.09307
"94","home","1825",769663.23273,5755643.15767
"95","home","0000",760236.50965,5767663.33029
"95","shops","1017",759317.42351,5729964.86105
"95","home","1348",760236.50965,5767663.33029
"95","shops","1500",761647.31617,5762952.48569
"95","home","1836",760236.50965,5767663.33029
"95","other","2144",777888.65052,5762548.96247
"95","home","2359",760236.50965,5767663.33029
"96","home","0000",778281.09453,5772628.98415
"96","shops","0908",743497.21054,5753100.09307
"96","beach","1120",783893.9946,5745788.90364
"96","work","1306",761856.89786,5763333.34179
"96","home","2027",778281.09453,5772628.98415
"97","home","0000",778281.09453,5772628.98415
"97","beach","1433",790861.74053,5752552.89152
"97","home","1735",778281.09453,5772628.98415
"97","other","2225",792837.45553,5769972.52889
"97","home","2359",778281.09453,5772628.98415
"98","home","0000",772074.33359,5739973.97543
"98","other","0232",778154.87981,5743919.35957
"98","home","0436",772074.33359,5739973.97543
"98","work","0829",771154.38036,5738979.16897
"98","home","1748",772074.33359,5739973.97543
"99","home","0000",752752.15136,5743870.14467
"99","other","0228",733346.70278,5756267.50925
"99","home","0429",752752.15136,5743870.14467
"99","work","0917",759163.59908,5730338.60707
"99","shops","1635",743497.21054,5753100.09307
"99","home","1926",752752.15136,5743870.14467
"100","home","0000",778887.78374,5744453.09544
"100","work","0440",779012.88562,5744520.34118
"100","home","1357",778887.78374,5744453.09544
"100","shops","1627",778433.82508,5744429.17115
"100","home","1801",778887.78374,5744453.09544
