"person","activity","leave_time"
"61","beach","1700"
"61","other","1900"
"61","shops","2100"
"61","home","2300"
"62","home","100"
"62","shops","1100"
"62","beach","1300"
"62","work","1700"
"63","home","100"
"63","other","900"
"63","shops","1100"
"63","beach","1300"
"63","other","1500"
"63","work","1700"
"64","home","100"
"64","work","900"
"64","beach","1700"
"64","other","1900"
"64","home","2100"
"65","home","100"
"65","work","900"
"65","other","1700"
"65","shops","1900"
"65","other","2100"
"65","home","2300"
"66","work","100"
"66","home","900"
"66","beach","1300"
"66","shops","1500"
"66","home","1700"
"67","other","100"
"67","home","300"
"67","shops","900"
"67","home","1100"
"67","beach","1500"
"67","work","1700"
"68","home","100"
"68","work","900"
"68","home","1700"
"69","work","100"
"69","beach","900"
"69","home","1100"
"69","beach","1300"
"69","shops","1500"
"69","home","1900"
"69","shops","2100"
"69","home","2300"
"70","home","100"
"70","work","900"
"70","other","1700"
"70","home","1900"
"70","shops","2100"
"70","home","2300"
"71","home","100"
"71","work","900"
"71","shops","1700"
"71","home","1900"
"71","other","2300"
"72","home","100"
"72","other","700"
"72","work","1100"
"72","home","1900"
"72","shops","2100"
"72","home","2300"
"73","other","100"
"73","home","300"
"73","other","700"
"73","shops","900"
"73","beach","1300"
"73","other","1500"
"73","work","1700"
"74","home","100"
"74","other","300"
"74","home","500"
"74","work","900"
"74","shops","1700"
"74","other","1900"
"74","home","2100"
"75","other","100"
"75","home","300"
"75","work","1100"
"75","home","1900"
"76","home","100"
"76","work","900"
"76","home","1700"
"77","other","100"
"77","home","300"
"77","work","700"
"77","other","1500"
"77","shops","1700"
"77","home","2100"
"78","home","100"
"78","other","700"
"78","work","900"
"78","shops","1700"
"78","home","1900"
"79","home","100"
"79","other","500"
"79","home","700"
"79","shops","1100"
"79","home","2100"
"80","home","100"
"80","work","900"
"80","shops","1700"
"80","home","1900"
"81","work","100"
"81","beach","900"
"81","other","1100"
"81","beach","1500"
"81","shops","1700"
"81","home","1900"
"82","home","100"
"82","work","900"
"82","home","1700"
"83","home","100"
"83","work","1100"
"83","shops","1900"
"83","home","2100"
"84","home","100"
"84","shops","1100"
"84","home","1300"
"84","beach","1500"
"84","work","1700"
"85","home","100"
"85","other","1100"
"85","home","1300"
"85","shops","1500"
"85","work","1700"
"86","home","100"
"86","work","1300"
"86","home","2100"
"87","home","100"
"87","work","900"
"87","shops","1700"
"87","other","1900"
"87","home","2100"
"88","home","100"
"88","shops","900"
"88","home","1100"
"88","work","1300"
"88","home","2100"
"89","home","100"
"89","work","900"
"89","home","1700"
"90","home","100"
"90","work","1100"
"90","home","1900"
"91","other","100"
"91","home","300"
"91","work","1100"
"91","home","1900"
"92","home","100"
"92","work","900"
"92","shops","1700"
"92","home","1900"
"93","home","100"
"93","work","1100"
"93","home","1900"
"93","other","2100"
"93","home","2300"
"94","home","100"
"94","work","1100"
"94","home","1900"
"94","other","2100"
"94","home","2300"
"95","home","100"
"95","work","900"
"95","shops","1700"
"95","home","1900"
"96","home","100"
"96","shops","900"
"96","home","1100"
"96","shops","1300"
"96","home","1500"
"96","work","1700"
"97","home","100"
"97","other","700"
"97","work","900"
"97","other","1700"
"97","shops","1900"
"97","home","2100"
"98","home","100"
"98","beach","900"
"98","work","1100"
"98","shops","1900"
"98","home","2100"
"99","home","100"
"99","work","900"
"99","shops","1700"
"99","home","1900"
"100","home","100"
"100","shops","900"
"100","home","1300"
"100","other","1500"
"100","work","1700"
"101","home","100"
"101","other","500"
"101","home","700"
"101","shops","900"
"101","home","1100"
"101","shops","1700"
"101","home","1900"
"102","home","100"
"102","other","500"
"102","home","700"
"102","work","1100"
"102","home","1900"
"102","other","2300"
"103","home","100"
"103","beach","1300"
"103","shops","1500"
"103","home","1900"
"103","other","2300"
"104","home","100"
"104","work","900"
"104","shops","1700"
"104","home","1900"
"104","other","2100"
"104","home","2300"
"105","home","100"
"105","other","500"
"105","home","700"
"105","beach","900"
"105","home","1100"
"105","shops","1300"
"105","other","1500"
"105","work","1700"
"106","home","100"
"106","shops","900"
"106","beach","1100"
"106","other","1500"
"106","home","1900"
"107","home","100"
"107","work","900"
"107","home","1700"
"108","home","100"
"108","other","300"
"108","home","700"
"108","shops","1300"
"108","home","1700"
"109","home","100"
"109","shops","900"
"109","work","1300"
"109","home","2100"
"110","home","100"
"110","other","500"
"110","home","700"
"110","other","900"
"110","work","1100"
"110","home","1900"
"111","other","100"
"111","home","300"
"111","shops","900"
"111","home","1100"
"111","beach","1300"
"111","work","1700"
"112","home","100"
"112","work","900"
"112","beach","1700"
"112","shops","1900"
"112","home","2100"
"113","home","100"
"113","work","700"
"113","shops","1500"
"113","home","1700"
"113","other","1900"
"113","home","2100"
"114","home","100"
"114","other","500"
"114","home","700"
"114","work","900"
"114","shops","1700"
"114","home","1900"
"115","home","100"
"115","other","900"
"115","shops","1100"
"115","work","1700"
"116","home","100"
"116","work","900"
"116","beach","1700"
"116","shops","1900"
"116","home","2100"
"117","home","100"
"117","shops","1500"
"117","work","1700"
"118","home","100"
"118","work","900"
"118","home","1700"
"119","home","100"
"119","other","700"
"119","home","900"
"119","shops","1100"
"119","other","1300"
"119","beach","1500"
"119","work","1700"
"120","home","100"
"120","work","1100"
"120","home","1900"
"121","home","100"
"121","other","700"
"121","work","900"
"121","home","1700"
"121","shops","2100"
"121","home","2300"
"122","home","100"
"122","beach","1300"
"122","other","1500"
"122","home","1700"
"122","other","1900"
"122","home","2300"
"123","home","100"
"123","work","900"
"123","home","1700"
"124","work","100"
"124","home","900"
"124","shops","1300"
"124","beach","1500"
"124","home","1700"
"124","other","1900"
"124","home","2100"
"125","home","100"
"125","shops","1500"
"125","work","1700"
"126","home","100"
"126","other","700"
"126","work","900"
"126","shops","1700"
"126","home","1900"
"127","home","100"
"127","other","900"
"127","home","1100"
"127","beach","1300"
"127","other","1500"
"127","work","1700"
"128","home","100"
"128","beach","1500"
"128","work","1700"
"129","home","100"
"129","beach","900"
"129","home","1100"
"129","beach","1300"
"129","home","1500"
"129","work","1700"
"130","home","100"
"130","shops","1100"
"130","beach","1300"
"130","home","1500"
"130","work","1700"
"131","home","100"
"131","beach","1500"
"131","home","1700"
"131","shops","1900"
"131","home","2100"
"132","home","100"
"132","other","700"
"132","beach","900"
"132","shops","1100"
"132","other","1300"
"132","shops","1500"
"132","work","1700"
"133","home","100"
"133","work","1100"
"133","other","1900"
"133","home","2100"
"134","home","100"
"134","shops","900"
"134","other","1100"
"134","beach","1300"
"134","home","1500"
"134","work","1700"
"135","other","100"
"135","home","300"
"135","work","900"
"135","home","1700"
"135","shops","2100"
"135","home","2300"
"136","home","100"
"136","other","1100"
"136","work","1300"
"136","home","2100"
"137","home","100"
"137","beach","1100"
"137","work","1300"
"137","home","2100"
"138","home","100"
"138","work","900"
"138","home","1700"
"138","other","1900"
"138","home","2100"
"139","home","100"
"139","shops","900"
"139","home","1100"
"139","beach","1500"
"139","work","1700"
"140","home","100"
"140","other","300"
"140","home","500"
"140","other","700"
"140","shops","900"
"140","home","1100"
"140","beach","1300"
"140","other","1500"
"140","home","1700"
"140","other","2300"
"141","home","100"
"141","work","700"
"141","other","1500"
"141","beach","1700"
"141","shops","1900"
"141","home","2100"
"142","home","100"
"142","shops","1300"
"142","beach","1500"
"142","work","1700"
"143","home","100"
"143","work","500"
"143","home","1300"
"143","shops","1500"
"143","home","1900"
"143","other","2100"
"143","home","2300"
"144","home","100"
"144","shops","1300"
"144","home","1700"
"145","home","100"
"145","work","900"
"145","shops","1700"
"145","home","1900"
"146","home","100"
"146","other","1100"
"146","beach","1300"
"146","shops","1500"
"146","work","1700"
"147","home","100"
"147","work","900"
"147","other","1700"
"147","home","1900"
"147","other","2300"
"148","home","100"
"148","other","900"
"148","beach","1100"
"148","work","1700"
"149","home","100"
"149","work","900"
"149","home","1700"
"149","other","2100"
"149","home","2300"
"150","home","100"
"150","other","500"
"150","home","700"
"150","work","900"
"150","beach","1700"
"150","home","1900"
"151","other","100"
"151","home","300"
"151","work","1100"
"151","home","1900"
"152","home","100"
"152","work","700"
"152","beach","1500"
"152","shops","1700"
"152","home","1900"
"153","home","100"
"153","other","700"
"153","work","900"
"153","home","1700"
"154","home","100"
"154","work","900"
"154","shops","1700"
"154","home","1900"
"155","home","100"
"155","work","900"
"155","shops","1700"
"155","home","1900"
"156","home","100"
"156","shops","1300"
"156","work","1700"
"157","other","100"
"157","home","300"
"157","work","1100"
"157","home","1900"
"158","home","100"
"158","shops","1100"
"158","home","1300"
"158","shops","1500"
"158","work","1700"
"159","home","100"
"159","other","1500"
"159","work","1700"
"160","home","100"
"160","other","700"
"160","home","900"
"160","beach","1500"
"160","work","1700"
"161","home","100"
"161","work","900"
"161","home","1700"
"161","other","1900"
"161","home","2100"
"162","home","100"
"162","other","1300"
"162","shops","1500"
"162","work","1700"
"163","home","100"
"163","work","900"
"163","shops","1700"
"163","home","1900"
"164","home","100"
"164","other","900"
"164","home","1100"
"164","shops","1300"
"164","work","1700"
"165","home","100"
"165","work","500"
"165","shops","1300"
"165","home","1500"
"166","home","100"
"166","work","900"
"166","home","1700"
"167","home","100"
"167","other","300"
"167","home","500"
"167","beach","1100"
"167","home","1500"
"167","work","1700"
"168","home","100"
"168","work","900"
"168","shops","1700"
"168","home","1900"
"169","home","100"
"169","other","300"
"169","home","500"
"169","beach","900"
"169","home","1100"
"169","shops","1300"
"169","home","1500"
"169","work","1700"
"170","home","100"
"170","other","700"
"170","home","900"
"170","shops","1100"
"170","work","1700"
"171","home","100"
"171","work","1100"
"171","home","1900"
"172","home","100"
"172","work","900"
"172","beach","1700"
"172","home","1900"
"173","home","100"
"173","work","500"
"173","beach","1300"
"173","shops","1500"
"173","other","1900"
"173","home","2100"
"174","home","100"
"174","work","900"
"174","other","1700"
"174","home","1900"
"175","home","100"
"175","work","900"
"175","shops","1700"
"175","home","1900"
"176","home","100"
"176","other","900"
"176","work","1100"
"176","home","1900"
"177","home","100"
"177","other","500"
"177","home","700"
"177","beach","1500"
"177","work","1700"
"178","home","100"
"178","work","900"
"178","shops","1700"
"178","home","1900"
"179","home","100"
"179","shops","1300"
"179","home","1500"
"179","work","1700"
"180","other","100"
"180","home","300"
"180","shops","900"
"180","home","1100"
"180","shops","1500"
"180","work","1700"
"181","work","100"
"181","home","900"
"181","beach","1300"
"181","home","1500"
"181","shops","1700"
"181","other","1900"
"181","home","2100"
"182","home","100"
"182","work","900"
"182","beach","1700"
"182","home","1900"
"183","home","100"
"183","work","900"
"183","shops","1700"
"183","other","1900"
"183","home","2100"
"184","home","100"
"184","shops","900"
"184","home","1100"
"184","shops","1300"
"184","other","1500"
"184","work","1700"
"185","home","100"
"185","work","700"
"185","shops","1500"
"185","home","1700"
"185","shops","1900"
"185","home","2100"
"186","home","100"
"186","shops","1100"
"186","home","1500"
"186","work","1700"
"187","home","100"
"187","other","300"
"187","home","500"
"187","other","700"
"187","home","900"
"187","work","1300"
"187","home","2100"
"188","home","100"
"188","work","1300"
"188","home","2100"
"189","home","100"
"189","work","900"
"189","home","1700"
"190","home","100"
"190","work","1100"
"190","home","1900"
"191","other","100"
"191","home","300"
"191","work","900"
"191","shops","1700"
"191","home","1900"
"192","other","100"
"192","home","300"
"192","other","900"
"192","home","1100"
"192","shops","1300"
"192","beach","1500"
"192","home","1700"
"192","shops","1900"
"192","home","2100"
"193","home","100"
"193","work","900"
"193","home","1700"
"193","shops","2100"
"193","home","2300"
"194","home","100"
"194","work","900"
"194","beach","1700"
"194","home","1900"
"195","other","100"
"195","home","300"
"195","shops","1300"
"195","other","1500"
"195","work","1700"
"196","home","100"
"196","shops","900"
"196","home","1100"
"196","beach","1300"
"196","shops","1500"
"196","work","1700"
"197","home","100"
"197","other","300"
"197","home","500"
"197","beach","1500"
"197","work","1700"
"198","home","100"
"198","work","500"
"198","shops","1300"
"198","home","1900"
"198","other","2300"
"199","home","100"
"199","work","500"
"199","shops","1300"
"199","beach","1500"
"199","shops","1700"
"199","home","1900"
"200","home","100"
"200","work","1100"
"200","home","1900"
"201","other","100"
"201","home","300"
"201","work","1100"
"201","other","1900"
"201","home","2100"
"202","home","100"
"202","other","900"
"202","work","1100"
"202","home","1900"
"202","shops","2100"
"202","home","2300"
"203","home","100"
"203","work","900"
"203","home","1700"
"204","home","100"
"204","shops","1100"
"204","beach","1500"
"204","work","1700"
"205","home","100"
"205","work","900"
"205","shops","1700"
"205","home","1900"
"206","home","100"
"206","work","900"
"206","shops","1700"
"206","home","1900"
"206","shops","2100"
"206","home","2300"
"207","home","100"
"207","work","900"
"207","home","1700"
"207","other","2300"
"208","home","100"
"208","work","900"
"208","home","1700"
"209","home","100"
"209","work","1100"
"209","home","1900"
"210","home","100"
"210","other","500"
"210","home","700"
"210","shops","1100"
"210","beach","1300"
"210","shops","1500"
"210","home","1900"
"211","home","100"
"211","shops","900"
"211","work","1100"
"211","other","1900"
"211","home","2100"
"212","work","100"
"212","home","900"
"212","other","1100"
"212","beach","1300"
"212","home","1500"
"212","beach","1700"
"212","other","1900"
"212","home","2100"
"213","home","100"
"213","other","700"
"213","home","900"
"213","shops","1100"
"213","home","1300"
"213","beach","1500"
"213","other","1700"
"213","home","1900"
"214","home","100"
"214","beach","1100"
"214","shops","1300"
"214","home","1500"
"214","work","1700"
"215","home","100"
"215","other","700"
"215","work","900"
"215","home","1700"
"216","home","100"
"216","work","900"
"216","shops","1700"
"216","home","1900"
"217","home","100"
"217","work","700"
"217","shops","1500"
"217","home","1700"
"217","other","1900"
"217","home","2100"
"218","home","100"
"218","other","900"
"218","home","1100"
"218","beach","1500"
"218","work","1700"
"219","home","100"
"219","other","1100"
"219","shops","1300"
"219","home","1500"
"219","work","1700"
"220","home","100"
"220","other","700"
"220","work","900"
"220","shops","1700"
"220","home","1900"
"220","other","2300"
"221","home","100"
"221","work","900"
"221","home","1700"
"222","home","100"
"222","shops","1100"
"222","beach","1300"
"222","work","1700"
"223","home","100"
"223","work","900"
"223","home","1700"
"224","home","100"
"224","beach","1300"
"224","other","1500"
"224","work","1700"
"225","work","100"
"225","home","900"
"225","shops","1100"
"225","home","1300"
"225","shops","1500"
"225","home","1900"
"225","other","2300"
"226","home","100"
"226","work","900"
"226","home","1700"
"227","home","100"
"227","shops","1300"
"227","other","1500"
"227","work","1700"
"228","other","100"
"228","home","300"
"228","other","500"
"228","home","900"
"228","beach","1100"
"228","home","1300"
"228","shops","1500"
"228","work","1700"
"229","home","100"
"229","work","900"
"229","shops","1700"
"229","home","1900"
"230","home","100"
"230","work","1100"
"230","shops","1900"
"230","home","2100"
"231","other","100"
"231","home","300"
"231","work","1100"
"231","home","1900"
"232","other","100"
"232","home","300"
"232","work","900"
"232","home","1700"
"232","shops","1900"
"232","home","2100"
"233","home","100"
"233","shops","900"
"233","work","1100"
"233","home","1900"
"233","shops","2100"
"233","home","2300"
"234","home","100"
"234","shops","900"
"234","beach","1500"
"234","shops","1700"
"234","home","1900"
"234","other","2100"
"234","home","2300"
"235","work","100"
"235","home","900"
"235","other","1100"
"235","home","1300"
"235","beach","1500"
"235","shops","1700"
"235","home","1900"
"236","home","100"
"236","work","900"
"236","home","1700"
"236","other","1900"
"236","home","2100"
"237","home","100"
"237","shops","1300"
"237","other","1500"
"237","home","1700"
"238","home","100"
"238","work","900"
"238","shops","1700"
"238","home","1900"
"239","home","100"
"239","work","500"
"239","home","1300"
"239","shops","1500"
"239","home","1900"
"240","home","100"
"240","other","500"
"240","home","700"
"240","shops","900"
"240","home","1100"
"240","work","1700"
"241","other","100"
"241","home","300"
"241","work","900"
"241","home","1700"
"242","home","100"
"242","shops","1100"
"242","home","1300"
"242","shops","1500"
"242","work","1700"
"243","home","100"
"243","shops","1300"
"243","beach","1500"
"243","home","1700"
"244","home","100"
"244","beach","900"
"244","home","1100"
"244","work","1700"
"245","home","100"
"245","beach","1300"
"245","shops","1500"
"245","work","1700"
"246","home","100"
"246","other","700"
"246","home","900"
"246","shops","1100"
"246","beach","1500"
"246","shops","1700"
"246","home","1900"
"247","home","100"
"247","other","500"
"247","home","700"
"247","shops","1100"
"247","home","1300"
"247","beach","1500"
"247","work","1700"
"248","other","100"
"248","home","300"
"248","shops","1300"
"248","work","1700"
"249","home","100"
"249","work","900"
"249","home","1700"
"249","shops","1900"
"249","home","2100"
"250","home","100"
"250","other","900"
"250","beach","1100"
"250","home","1300"
"250","shops","1500"
"250","work","1700"
"251","home","100"
"251","work","900"
"251","home","1700"
"251","other","2100"
"251","home","2300"
"252","home","100"
"252","work","900"
"252","beach","1700"
"252","home","1900"
"253","home","100"
"253","shops","900"
"253","work","1100"
"253","home","1900"
"254","home","100"
"254","other","700"
"254","work","900"
"254","shops","1700"
"254","other","1900"
"254","home","2100"
"255","home","100"
"255","other","300"
"255","home","500"
"255","shops","900"
"255","beach","1100"
"255","home","1300"
"255","beach","1500"
"255","work","1700"
"256","other","100"
"256","home","300"
"256","shops","900"
"256","home","1100"
"256","beach","1300"
"256","shops","1500"
"256","work","1700"
"257","home","100"
"257","work","900"
"257","other","1700"
"257","home","1900"
"258","home","100"
"258","work","500"
"258","other","1300"
"258","home","1500"
"259","home","100"
"259","other","1300"
"259","beach","1500"
"259","work","1700"
"260","home","100"
"260","work","900"
"260","home","1700"
"260","other","2100"
"260","home","2300"
"261","home","100"
"261","work","900"
"261","home","1700"
"261","other","1900"
"261","home","2100"
"262","home","100"
"262","work","900"
"262","beach","1700"
"262","other","1900"
"262","home","2100"
"263","home","100"
"263","work","900"
"263","shops","1700"
"263","home","1900"
"264","home","100"
"264","shops","1100"
"264","home","1300"
"264","beach","1500"
"264","work","1700"
"265","home","100"
"265","work","900"
"265","beach","1700"
"265","home","1900"
"266","home","100"
"266","work","900"
"266","home","1700"
"267","home","100"
"267","work","900"
"267","home","1700"
"268","home","100"
"268","work","900"
"268","home","1700"
"268","shops","1900"
"268","home","2100"
"269","home","100"
"269","shops","900"
"269","home","1100"
"269","shops","1300"
"269","beach","1500"
"269","shops","1700"
"269","home","2100"
"270","home","100"
"270","other","500"
"270","work","900"
"270","shops","1700"
"270","other","1900"
"270","home","2100"
"271","home","100"
"271","beach","1100"
"271","shops","1500"
"271","work","1700"
"272","home","100"
"272","work","700"
"272","beach","1500"
"272","other","1700"
"272","home","1900"
"273","home","100"
"273","shops","900"
"273","home","1100"
"273","beach","1300"
"273","shops","1500"
"273","work","1700"
"274","home","100"
"274","other","900"
"274","work","1100"
"274","home","1900"
"274","shops","2100"
"274","home","2300"
"275","home","100"
"275","other","500"
"275","home","700"
"275","work","900"
"275","shops","1700"
"275","other","1900"
"275","home","2100"
"276","work","100"
"276","home","900"
"276","beach","1300"
"276","other","1700"
"276","home","2100"
"277","home","100"
"277","shops","1300"
"277","beach","1500"
"277","work","1700"
"278","home","100"
"278","other","700"
"278","work","900"
"278","home","1700"
"278","other","1900"
"278","home","2100"
"279","home","100"
"279","work","900"
"279","home","1700"
"280","home","100"
"280","shops","900"
"280","work","1100"
"280","shops","1900"
"280","other","2100"
"280","home","2300"
"281","home","100"
"281","work","500"
"281","beach","1300"
"281","other","1700"
"281","home","1900"
"282","home","100"
"282","work","900"
"282","home","1700"
"283","home","100"
"283","work","900"
"283","other","1700"
"284","home","100"
"284","other","500"
"284","work","700"
"284","shops","1500"
"284","home","1700"
"285","home","100"
"285","work","1100"
"285","home","1900"
"286","home","100"
"286","beach","900"
"286","home","1100"
"286","beach","1300"
"286","shops","1500"
"286","work","1700"
"287","home","100"
"287","shops","900"
"287","beach","1300"
"287","other","1500"
"287","work","1700"
"288","home","100"
"288","work","900"
"288","shops","1700"
"288","home","1900"
"289","home","100"
"289","beach","1100"
"289","work","1300"
"289","home","2100"
"290","home","100"
"290","other","700"
"290","home","900"
"290","work","1300"
"290","home","2100"
"291","home","100"
"291","shops","900"
"291","home","1300"
"291","shops","1500"
"291","work","1700"
"292","home","100"
"292","other","900"
"292","home","1100"
"292","shops","1300"
"292","work","1700"
"293","home","100"
"293","work","900"
"293","other","1700"
"293","home","2100"
"294","home","100"
"294","work","900"
"294","other","1700"
"294","home","2100"
"294","other","2300"
"295","home","100"
"295","work","900"
"295","shops","1700"
"295","home","1900"
"295","other","2300"
"296","home","100"
"296","work","1100"
"296","home","1900"
"297","other","100"
"297","home","300"
"297","other","500"
"297","work","700"
"297","home","1500"
"297","shops","1700"
"297","home","1900"
"298","home","100"
"298","other","1100"
"298","home","1300"
"298","other","1500"
"298","work","1700"
"299","home","100"
"299","shops","900"
"299","work","1100"
"299","shops","1900"
"299","home","2100"
"300","home","100"
"300","beach","900"
"300","other","1100"
"300","home","1300"
"300","shops","1500"
"300","work","1700"
"301","home","100"
"301","work","900"
"301","shops","1700"
"301","home","1900"
"302","home","100"
"302","other","700"
"302","work","900"
"302","home","1700"
"302","other","1900"
"302","home","2100"
"303","home","100"
"303","work","900"
"303","shops","1700"
"303","home","2100"
"304","work","100"
"304","home","900"
"304","beach","1300"
"304","shops","1500"
"304","home","1900"
"304","other","2300"
"305","home","100"
"305","shops","900"
"305","beach","1500"
"305","work","1700"
"306","home","100"
"306","other","700"
"306","work","900"
"306","shops","1700"
"306","home","1900"
"307","home","100"
"307","work","1100"
"307","other","1900"
"307","home","2100"
"308","home","100"
"308","other","900"
"308","home","1100"
"308","work","1300"
"308","home","2100"
"309","home","100"
"309","other","700"
"309","work","900"
"309","shops","1700"
"309","other","1900"
"309","home","2100"
"310","home","100"
"310","work","900"
"310","home","1700"
"311","home","100"
"311","work","900"
"311","other","1700"
"311","home","1900"
"312","home","100"
"312","shops","1100"
"312","work","1300"
"312","home","2100"
"313","home","100"
"313","other","500"
"313","home","700"
"313","work","900"
"313","home","1700"
"314","work","100"
"314","home","900"
"314","beach","1300"
"314","shops","1700"
"314","home","1900"
"315","home","100"
"315","work","900"
"315","home","1700"
"315","shops","1900"
"315","home","2100"
"316","home","100"
"316","work","1100"
"316","home","1900"
"316","shops","2100"
"316","home","2300"
"317","home","100"
"317","other","1300"
"317","shops","1500"
"317","work","1700"
"318","home","100"
"318","work","900"
"318","other","1700"
"318","home","1900"
"318","other","2300"
"319","home","100"
"319","work","900"
"319","beach","1700"
"319","home","1900"
"320","home","100"
"320","work","900"
"320","shops","1700"
"320","other","1900"
"320","home","2300"
"321","home","100"
"321","shops","900"
"321","work","1100"
"321","home","1900"
"322","home","100"
"322","work","900"
"322","home","1700"
"323","other","100"
"323","home","300"
"323","other","700"
"323","shops","900"
"323","home","1300"
"323","shops","1500"
"323","beach","1700"
"323","home","1900"
"324","home","100"
"324","work","900"
"324","home","1700"
"324","other","1900"
"324","home","2100"
"325","home","100"
"325","beach","900"
"325","work","1300"
"325","shops","2100"
"325","home","2300"
"326","home","100"
"326","beach","1100"
"326","home","1300"
"326","other","1500"
"326","work","1700"
"327","home","100"
"327","beach","900"
